Demographic Data Report for United States by County,,,,
Population: White,,,,
"All Ages, Both Sexes",,,,
2017-2021 American Community Survey 5-Year Data,,,,
Sorted by Value,,,,
,,,,
County,fips,Value (Percent),People (White),Rank within US
"Day County, South Dakota",46037,86.1,4724,1596 of 3143
"Chester County, Tennessee",47023,86.1,14869,1597 of 3143
"Lawrence County, Illinois",17101,86,13307,1598 of 3143
"Hickman County, Kentucky",21105,86,3897,1599 of 3143
"Jefferson County, Colorado",08059,86,499171,1600 of 3143
"Greenlee County, Arizona",04011,86,8210,1601 of 3143
"Erath County, Texas",48143,86,36384,1602 of 3143
"Teton County, Idaho",16081,86,9884,1603 of 3143
"Saline County, Arkansas",05125,86,105208,1604 of 3143
"Salem City, Virginia",51775,86,21788,1605 of 3143
"Vigo County, Indiana",18167,86,91599,1606 of 3143
"Jefferson County, Illinois",17081,86,32125,1607 of 3143
"Cascade County, Montana",30013,86,72378,1608 of 3143
"Wheeler County, Texas",48483,86,4377,1609 of 3143
"Roger Mills County, Oklahoma",40129,86,2989,1610 of 3143
"Lancaster County, Pennsylvania",42071,86,473189,1611 of 3143
"Weber County, Utah",49057,85.9,222933,1612 of 3143
"York County, Pennsylvania",42133,85.9,390694,1613 of 3143
"Lincoln County, Oregon",41041,85.9,42844,1614 of 3143
"Madison County, Illinois",17119,85.9,228634,1615 of 3143
"Clark County, Indiana",18019,85.9,103249,1616 of 3143
"Richland County, Ohio",39139,85.9,106947,1617 of 3143
"Mason County, Texas",48319,85.9,3391,1618 of 3143
"Howard County, Indiana",18067,85.9,71588,1619 of 3143
"Cumberland County, Pennsylvania",42041,85.9,221002,1620 of 3143
"Boyle County, Kentucky",21021,85.9,26167,1621 of 3143
"Phillips County, Colorado",08095,85.9,3862,1622 of 3143
"Kit Carson County, Colorado",08063,85.9,6071,1623 of 3143
"Oconee County, South Carolina",45073,85.8,66893,1624 of 3143
"Motley County, Texas",48345,85.8,1089,1625 of 3143
"Walton County, Florida",12131,85.8,63035,1626 of 3143
"Sedgwick County, Colorado",08115,85.8,2110,1627 of 3143
"Williamson County, Tennessee",47187,85.8,207982,1628 of 3143
"Hancock County, Mississippi",28045,85.8,39389,1629 of 3143
"Spokane County, Washington",53063,85.8,455903,1630 of 3143
"Mariposa County, California",06043,85.8,14774,1631 of 3143
"Simpson County, Kentucky",21213,85.7,16570,1632 of 3143
"Jackson County, Michigan",26075,85.7,137808,1633 of 3143
"Douglas County, Colorado",08035,85.7,301642,1634 of 3143
"Randolph County, Illinois",17157,85.7,26254,1635 of 3143
"Washakie County, Wyoming",56043,85.7,6655,1636 of 3143
"Scott County, Arkansas",05127,85.7,8505,1637 of 3143
"Newton County, Missouri",29145,85.7,50223,1638 of 3143
"Washington County, Idaho",16087,85.6,8928,1639 of 3143
"Stearns County, Minnesota",27145,85.6,134990,1640 of 3143
"Tolland County, Connecticut",09013,85.6,128545,1641 of 3143
"Muscatine County, Iowa",19139,85.6,36944,1642 of 3143
"Prairie County, Arkansas",05117,85.6,7111,1643 of 3143
"Clark County, Ohio",39023,85.6,116451,1644 of 3143
"Dixie County, Florida",12029,85.6,14295,1645 of 3143
"Johnson County, Texas",48251,85.6,151503,1646 of 3143
"Pierce County, Georgia",13229,85.6,16811,1647 of 3143
"Twin Falls County, Idaho",16083,85.6,76266,1648 of 3143
"La Plata County, Colorado",08067,85.6,47635,1649 of 3143
"Mohave County, Arizona",04015,85.6,180762,1650 of 3143
"Barry County, Missouri",29009,85.6,29642,1651 of 3143
"Cook County, Minnesota",27031,85.5,4768,1652 of 3143
"Concho County, Texas",48095,85.5,2721,1653 of 3143
"Jackson County, Kansas",20085,85.5,11356,1654 of 3143
"Benewah County, Idaho",16009,85.5,8127,1655 of 3143
"Baylor County, Texas",48023,85.4,2983,1656 of 3143
"Hampshire County, Massachusetts",25015,85.4,138255,1657 of 3143
"Uintah County, Utah",49047,85.4,30319,1658 of 3143
"Henderson County, Texas",48213,85.4,69801,1659 of 3143
"Gloucester County, Virginia",51073,85.4,32957,1660 of 3143
"Dolores County, Colorado",08033,85.4,1954,1661 of 3143
"Middlesex County, Connecticut",09007,85.4,140541,1662 of 3143
"Burnet County, Texas",48053,85.4,41346,1663 of 3143
"Bandera County, Texas",48019,85.4,17788,1664 of 3143
"Tuolumne County, California",06109,85.4,47151,1665 of 3143
"Saguache County, Colorado",08109,85.4,5436,1666 of 3143
"Kingfisher County, Oklahoma",40073,85.2,13018,1667 of 3143
"Teton County, Wyoming",56039,85.2,19873,1668 of 3143
"Cass County, North Dakota",38017,85.1,155808,1669 of 3143
"Levy County, Florida",12075,85.1,36089,1670 of 3143
"Kent County, Texas",48263,85.1,538,1671 of 3143
"Bucks County, Pennsylvania",42017,85.1,548081,1672 of 3143
"Schoolcraft County, Michigan",26153,85.1,6811,1673 of 3143
"Grays Harbor County, Washington",53027,85.1,63566,1674 of 3143
"Wilson County, Tennessee",47189,85.1,123111,1675 of 3143
"Rutherford County, North Carolina",37161,85,54935,1676 of 3143
"Montgomery County, New York",36057,85,42126,1677 of 3143
"Gaines County, Texas",48165,85,17999,1678 of 3143
"Lauderdale County, Alabama",01077,85,79364,1679 of 3143
"Cowley County, Kansas",20035,85,29561,1680 of 3143
"Monroe County, Indiana",18105,85,119185,1681 of 3143
"Modoc County, California",06049,85,7416,1682 of 3143
"Jefferson County, West Virginia",54037,85,48920,1683 of 3143
"Martin County, Florida",12085,85,134574,1684 of 3143
"Fairfield County, Ohio",39045,85,133978,1685 of 3143
"Briscoe County, Texas",48045,85,1076,1686 of 3143
"Bayfield County, Wisconsin",55007,85,13624,1687 of 3143
"Dewey County, Oklahoma",40043,85,3865,1688 of 3143
"Garland County, Arkansas",05051,85,84722,1689 of 3143
"Hansford County, Texas",48195,85,4531,1690 of 3143
"Stephens County, Texas",48429,85,7768,1691 of 3143
"Berkeley County, West Virginia",54003,84.9,102322,1692 of 3143
"Lincoln County, Nevada",32017,84.9,3907,1693 of 3143
"Clallam County, Washington",53009,84.9,65166,1694 of 3143
"Montgomery County, Virginia",51121,84.9,84296,1695 of 3143
"Scotts Bluff County, Nebraska",31157,84.9,30756,1696 of 3143
"Boulder County, Colorado",08013,84.9,279046,1697 of 3143
"Carroll County, Arkansas",05015,84.9,23900,1698 of 3143
"St. Johns County, Florida",12109,84.9,225524,1699 of 3143
"Columbia County, Washington",53013,84.8,3367,1700 of 3143
"Knox County, Illinois",17095,84.8,42575,1701 of 3143
"Eaton County, Michigan",26045,84.8,92430,1702 of 3143
"Cass County, Illinois",17017,84.8,11075,1703 of 3143
"Jefferson County, New York",36045,84.8,99740,1704 of 3143
"Kittitas County, Washington",53037,84.8,37429,1705 of 3143
"Hamilton County, Indiana",18057,84.8,289602,1706 of 3143
"Leon County, Texas",48289,84.8,13459,1707 of 3143
"Upshur County, Texas",48459,84.8,34567,1708 of 3143
"Erie County, Pennsylvania",42049,84.8,230458,1709 of 3143
"Giles County, Tennessee",47055,84.8,25594,1710 of 3143
"Fall River County, South Dakota",46047,84.7,5914,1711 of 3143
"Tama County, Iowa",19171,84.7,14467,1712 of 3143
"El Dorado County, California",06017,84.7,161381,1713 of 3143
"Pike County, Pennsylvania",42103,84.7,49407,1714 of 3143
"Kandiyohi County, Minnesota",27067,84.7,36838,1715 of 3143
"Valley County, Montana",30105,84.7,6395,1716 of 3143
"Mills County, Texas",48333,84.6,3826,1717 of 3143
"Douglas County, Nevada",32005,84.6,41598,1718 of 3143
"Calaveras County, California",06009,84.6,38373,1719 of 3143
"Kenedy County, Texas",48261,84.6,143,1720 of 3143
"Radford City, Virginia",51750,84.6,13710,1721 of 3143
"Buchanan County, Missouri",29021,84.6,72362,1722 of 3143
"Baldwin County, Alabama",01003,84.5,192034,1723 of 3143
"Robertson County, Tennessee",47147,84.5,61126,1724 of 3143
"Franklin County, Georgia",13119,84.5,19659,1725 of 3143
"Story County, Iowa",19169,84.5,82923,1726 of 3143
"Payette County, Idaho",16075,84.5,21069,1727 of 3143
"Warren County, New Jersey",34041,84.5,92416,1728 of 3143
"Blaine County, Idaho",16013,84.5,20169,1729 of 3143
"Hot Spring County, Arkansas",05059,84.5,27960,1730 of 3143
"Rock County, Wisconsin",55105,84.5,138122,1731 of 3143
"Delaware County, Ohio",39041,84.5,178326,1732 of 3143
"Lane County, Oregon",41039,84.5,321381,1733 of 3143
"Louisa County, Iowa",19115,84.4,9195,1734 of 3143
"Grand Forks County, North Dakota",38035,84.4,61715,1735 of 3143
"Hendricks County, Indiana",18063,84.4,145251,1736 of 3143
"Sarpy County, Nebraska",31153,84.4,159033,1737 of 3143
"Uvalde County, Texas",48463,84.4,21024,1738 of 3143
"Van Buren County, Michigan",26159,84.4,63735,1739 of 3143
"Nelson County, Virginia",51125,84.4,12481,1740 of 3143
"Stephenson County, Illinois",17177,84.4,37804,1741 of 3143
"Saline County, Nebraska",31151,84.3,12142,1742 of 3143
"Lyon County, Minnesota",27083,84.3,21489,1743 of 3143
"Lebanon County, Pennsylvania",42075,84.3,120177,1744 of 3143
"Clearwater County, Minnesota",27029,84.3,7189,1745 of 3143
"Conway County, Arkansas",05029,84.3,17445,1746 of 3143
"Fauquier County, Virginia",51061,84.3,61017,1747 of 3143
"Geneva County, Alabama",01061,84.2,22410,1748 of 3143
"Runnels County, Texas",48399,84.2,8328,1749 of 3143
"Ward County, North Dakota",38101,84.2,58681,1750 of 3143
"Cleveland County, Arkansas",05025,84.2,6424,1751 of 3143
"Broome County, New York",36007,84.2,167142,1752 of 3143
"Fayette County, Alabama",01057,84.2,13773,1753 of 3143
"Lancaster County, Nebraska",31109,84.1,269516,1754 of 3143
"Bedford County, Tennessee",47003,84.1,41861,1755 of 3143
"Brown County, Texas",48049,84.1,32042,1756 of 3143
"Polk County, Oregon",41053,84.1,72636,1757 of 3143
"Greene County, Ohio",39057,84.1,140513,1758 of 3143
"Hanover County, Virginia",51085,84.1,91851,1759 of 3143
"Scott County, Missouri",29201,84.1,32082,1760 of 3143
"Storey County, Nevada",32029,84.1,3402,1761 of 3143
"Comal County, Texas",48091,84.1,131343,1762 of 3143
"Covington County, Alabama",01039,84.1,31511,1763 of 3143
"Rensselaer County, New York",36083,84,135381,1764 of 3143
"Sumner County, Tennessee",47165,84,162160,1765 of 3143
"Alfalfa County, Oklahoma",40003,84,4824,1766 of 3143
"Marshall County, South Dakota",46091,84,3672,1767 of 3143
"McCracken County, Kentucky",21145,84,56582,1768 of 3143
"Rice County, Minnesota",27131,84,56077,1769 of 3143
"Whitfield County, Georgia",13313,83.9,86497,1770 of 3143
"Knox County, Tennessee",47093,83.9,398831,1771 of 3143
"Vanderburgh County, Indiana",18163,83.9,150782,1772 of 3143
"Jackson County, Georgia",13157,83.9,61943,1773 of 3143
"Trinity County, Texas",48455,83.9,11486,1774 of 3143
"Clackamas County, Oregon",41005,83.9,351022,1775 of 3143
"Logan County, Colorado",08075,83.9,18250,1776 of 3143
"Oneida County, New York",36065,83.8,194518,1777 of 3143
"Erie County, Ohio",39043,83.8,63327,1778 of 3143
"Boone County, Illinois",17007,83.8,44895,1779 of 3143
"Grady County, Oklahoma",40051,83.8,45852,1780 of 3143
"Brown County, Kansas",20013,83.7,7983,1781 of 3143
"Dickens County, Texas",48125,83.7,1314,1782 of 3143
"Orange County, Texas",48361,83.7,71215,1783 of 3143
"Saline County, Missouri",29195,83.7,19492,1784 of 3143
"La Salle Parish, Louisiana",22059,83.7,12367,1785 of 3143
"Chattooga County, Georgia",13055,83.7,20847,1786 of 3143
"Brule County, South Dakota",46015,83.7,4391,1787 of 3143
"Harper County, Oklahoma",40059,83.7,2810,1788 of 3143
"Santa Rosa County, Florida",12113,83.7,154250,1789 of 3143
"DeKalb County, Alabama",01049,83.7,59870,1790 of 3143
"Randall County, Texas",48381,83.7,116445,1791 of 3143
"Delta County, Texas",48119,83.6,4392,1792 of 3143
"Tyler County, Texas",48457,83.6,16742,1793 of 3143
"Martin County, Texas",48317,83.5,4355,1794 of 3143
"Habersham County, Georgia",13137,83.5,38223,1795 of 3143
"Ashland County, Wisconsin",55003,83.4,13349,1796 of 3143
"Lincoln County, New Mexico",35027,83.4,16754,1797 of 3143
"Phillips County, Montana",30071,83.4,3531,1798 of 3143
"Lincoln County, Oklahoma",40081,83.4,28069,1799 of 3143
"Fisher County, Texas",48151,83.4,3103,1800 of 3143
"Gooding County, Idaho",16047,83.4,12864,1801 of 3143
"Hernando County, Florida",12053,83.4,160241,1802 of 3143
"Pacific County, Washington",53049,83.4,19161,1803 of 3143
"Wasco County, Oregon",41065,83.4,22184,1804 of 3143
"Brunswick County, North Carolina",37019,83.4,111535,1805 of 3143
"Klamath County, Oregon",41035,83.4,57437,1806 of 3143
"Johnson County, Kansas",20091,83.4,504478,1807 of 3143
"Jefferson County, Iowa",19101,83.4,13208,1808 of 3143
"Wichita County, Kansas",20203,83.3,1792,1809 of 3143
"Cassia County, Idaho",16031,83.3,20394,1810 of 3143
"Franklin County, Texas",48159,83.3,8677,1811 of 3143
"Alger County, Michigan",26003,83.3,7425,1812 of 3143
"Floyd County, Texas",48153,83.3,4564,1813 of 3143
"Burke County, North Carolina",37023,83.3,73174,1814 of 3143
"Dukes County, Massachusetts",25007,83.3,16892,1815 of 3143
"Bartholomew County, Indiana",18005,83.3,68104,1816 of 3143
"Davidson County, North Carolina",37057,83.3,139941,1817 of 3143
"McMullen County, Texas",48311,83.3,607,1818 of 3143
"Shasta County, California",06089,83.3,151465,1819 of 3143
"Yamhill County, Oregon",41071,83.2,89083,1820 of 3143
"Goliad County, Texas",48175,83.2,5897,1821 of 3143
"Putnam County, New York",36079,83.2,81500,1822 of 3143
"Luzerne County, Pennsylvania",42079,83.2,270201,1823 of 3143
"Minnehaha County, South Dakota",46099,83.2,162086,1824 of 3143
"Randolph County, North Carolina",37151,83.1,119501,1825 of 3143
"Shelby County, Kentucky",21211,83.1,39500,1826 of 3143
"Weld County, Colorado",08123,83.1,267860,1827 of 3143
"Scott County, Iowa",19163,83.1,144654,1828 of 3143
"Gordon County, Georgia",13129,83,47563,1829 of 3143
"Broomfield County, Colorado",08014,83,60366,1830 of 3143
"Cherokee County, Georgia",13057,83,217607,1831 of 3143
"Lyon County, Kansas",20111,83,26810,1832 of 3143
"Jim Hogg County, Texas",48247,82.9,4034,1833 of 3143
"Washington County, Minnesota",27163,82.9,219609,1834 of 3143
"Kendall County, Texas",48259,82.9,36353,1835 of 3143
"Union County, Kentucky",21225,82.9,11430,1836 of 3143
"Coleman County, Texas",48083,82.8,6501,1837 of 3143
"Duval County, Texas",48131,82.8,8281,1838 of 3143
"Wilson County, Texas",48493,82.8,40877,1839 of 3143
"Cole County, Missouri",29051,82.8,64067,1840 of 3143
"Stanly County, North Carolina",37167,82.8,51428,1841 of 3143
"Elkhart County, Indiana",18039,82.7,170653,1842 of 3143
"Stephens County, Georgia",13257,82.7,22035,1843 of 3143
"Lexington City, Virginia",51678,82.7,6027,1844 of 3143
"Clay County, Missouri",29047,82.7,206761,1845 of 3143
"McClain County, Oklahoma",40087,82.7,34101,1846 of 3143
"Lorain County, Ohio",39093,82.6,257617,1847 of 3143
"Cass County, Indiana",18017,82.6,31319,1848 of 3143
"Alcorn County, Mississippi",28003,82.6,28873,1849 of 3143
"Trousdale County, Tennessee",47169,82.6,9465,1850 of 3143
"Kimble County, Texas",48267,82.6,3546,1851 of 3143
"Brown County, Wisconsin",55009,82.5,220685,1852 of 3143
"Platte County, Missouri",29165,82.5,86798,1853 of 3143
"Pearl River County, Mississippi",28109,82.5,46157,1854 of 3143
"Montgomery County, Kansas",20125,82.4,26119,1855 of 3143
"Benton County, Oregon",41003,82.4,78029,1856 of 3143
"Trinity County, California",06105,82.4,13034,1857 of 3143
"Grayson County, Texas",48181,82.4,110567,1858 of 3143
"Somervell County, Texas",48425,82.4,7553,1859 of 3143
"Staunton City, Virginia",51790,82.4,20885,1860 of 3143
"Maury County, Tennessee",47119,82.4,81541,1861 of 3143
"Lewis County, Idaho",16061,82.3,2975,1862 of 3143
"Madison County, Georgia",13195,82.3,24613,1863 of 3143
"Hopkins County, Texas",48223,82.3,30173,1864 of 3143
"Watonwan County, Minnesota",27165,82.3,9235,1865 of 3143
"Hill County, Texas",48217,82.2,29351,1866 of 3143
"Obion County, Tennessee",47131,82.2,25251,1867 of 3143
"Lampasas County, Texas",48281,82.2,17622,1868 of 3143
"Beauregard Parish, Louisiana",22011,82.2,29918,1869 of 3143
"Black Hawk County, Iowa",19013,82.2,107947,1869 of 3143
"Clay County, Alabama",01027,82.1,11650,1871 of 3143
"Lincoln County, Idaho",16063,82.1,4255,1872 of 3143
"Gilmer County, West Virginia",54021,82.1,6168,1873 of 3143
"Prentiss County, Mississippi",28117,82.1,20534,1874 of 3143
"Dunklin County, Missouri",29069,82,23457,1875 of 3143
"White Pine County, Nevada",32033,82,7541,1876 of 3143
"Beckham County, Oklahoma",40009,82,18334,1877 of 3143
"Ramsey County, North Dakota",38071,82,9547,1878 of 3143
"Sierra County, New Mexico",35051,82,9441,1879 of 3143
"Jefferson County, Oklahoma",40067,82,4502,1880 of 3143
"Prowers County, Colorado",08099,82,9808,1881 of 3143
"Franklin County, Kentucky",21073,82,42063,1882 of 3143
"Berrien County, Georgia",13019,82,14913,1883 of 3143
"Island County, Washington",53029,82,70430,1884 of 3143
"Meade County, Kansas",20119,81.9,3350,1885 of 3143
"Franklin County, New York",36033,81.9,39318,1886 of 3143
"McLean County, Illinois",17113,81.9,140405,1887 of 3143
"Galax City, Virginia",51640,81.9,5471,1888 of 3143
"Chester County, Pennsylvania",42029,81.8,435100,1889 of 3143
"Sheridan County, Nebraska",31161,81.8,4213,1890 of 3143
"Amador County, California",06005,81.8,32794,1891 of 3143
"Siskiyou County, California",06093,81.8,36110,1892 of 3143
"Indian River County, Florida",12061,81.8,129185,1893 of 3143
"Covington City, Virginia",51580,81.8,4673,1894 of 3143
"Butler County, Ohio",39017,81.7,316933,1895 of 3143
"Olmsted County, Minnesota",27109,81.7,131507,1896 of 3143
"Hughes County, South Dakota",46065,81.7,14568,1897 of 3143
"Cass County, Minnesota",27021,81.7,24445,1898 of 3143
"Mower County, Minnesota",27099,81.7,32671,1899 of 3143
"Hardeman County, Texas",48197,81.7,2913,1900 of 3143
"Worcester County, Maryland",24047,81.7,42727,1901 of 3143
"Scott County, Minnesota",27139,81.7,122135,1902 of 3143
"Haskell County, Texas",48207,81.6,4425,1903 of 3143
"San Saba County, Texas",48411,81.6,4713,1904 of 3143
"Dane County, Wisconsin",55025,81.6,453311,1905 of 3143
"Hood River County, Oregon",41027,81.6,19506,1906 of 3143
"Bristol County, Massachusetts",25005,81.5,469595,1907 of 3143
"Pondera County, Montana",30073,81.5,4868,1908 of 3143
"Allen County, Ohio",39003,81.5,83468,1909 of 3143
"Jerome County, Idaho",16053,81.4,19609,1910 of 3143
"Johnson County, Nebraska",31097,81.4,4312,1911 of 3143
"Eagle County, Colorado",08037,81.4,45327,1912 of 3143
"Clark County, Washington",53011,81.4,404032,1913 of 3143
"Polk County, Iowa",19153,81.4,397715,1914 of 3143
"Greene County, Virginia",51079,81.3,16568,1915 of 3143
"Los Alamos County, New Mexico",35028,81.3,15587,1916 of 3143
"Logan County, Oklahoma",40083,81.3,39844,1917 of 3143
"Whatcom County, Washington",53073,81.3,182547,1918 of 3143
"Pasco County, Florida",12101,81.3,448258,1919 of 3143
"Leavenworth County, Kansas",20103,81.3,66305,1920 of 3143
"Camden County, North Carolina",37029,81.2,8408,1921 of 3143
"Jackson County, North Carolina",37099,81.2,34896,1922 of 3143
"Minidoka County, Idaho",16067,81.2,17368,1923 of 3143
"Faulkner County, Arkansas",05045,81.2,100003,1924 of 3143
"Jackson County, Texas",48239,81.2,12153,1925 of 3143
"Blanco County, Texas",48031,81.1,9180,1926 of 3143
"Chilton County, Alabama",01021,81.1,36385,1927 of 3143
"Dunn County, North Dakota",38025,81.1,3288,1928 of 3143
"Stephens County, Oklahoma",40137,81.1,34859,1929 of 3143
"Grant County, Kansas",20067,81.1,6025,1930 of 3143
"DeKalb County, Illinois",17037,81.1,81826,1931 of 3143
"Mason County, Washington",53045,81,52653,1932 of 3143
"Vermilion County, Illinois",17183,81,60737,1933 of 3143
"Otero County, Colorado",08089,81,15123,1934 of 3143
"Noble County, Oklahoma",40103,81,8928,1935 of 3143
"Riley County, Kansas",20161,81,58797,1936 of 3143
"Northampton County, Pennsylvania",42095,81,252088,1937 of 3143
"LaPorte County, Indiana",18091,80.9,90806,1938 of 3143
"San Patricio County, Texas",48409,80.9,55501,1939 of 3143
"Nolan County, Texas",48353,80.8,11902,1940 of 3143
"Anoka County, Minnesota",27003,80.8,291534,1941 of 3143
"Manatee County, Florida",12081,80.8,319008,1942 of 3143
"Garvin County, Oklahoma",40049,80.8,20954,1943 of 3143
"Brewster County, Texas",48043,80.7,7670,1944 of 3143
"Kenosha County, Wisconsin",55059,80.7,136175,1945 of 3143
"Kenai Peninsula Borough, Alaska",02122,80.7,47378,1946 of 3143
"Jones County, South Dakota",46075,80.7,739,1947 of 3143
"Milam County, Texas",48331,80.7,20079,1948 of 3143
"Plymouth County, Massachusetts",25023,80.6,425485,1949 of 3143
"Pennington County, South Dakota",46103,80.6,87663,1950 of 3143
"Hutchinson County, Texas",48233,80.6,16774,1951 of 3143
"Bartow County, Georgia",13015,80.6,86978,1952 of 3143
"Hartley County, Texas",48205,80.6,4406,1953 of 3143
"Garfield County, Colorado",08045,80.6,49354,1954 of 3143
"Lamb County, Texas",48279,80.6,10598,1955 of 3143
"Tehama County, California",06103,80.6,52668,1956 of 3143
"Ward County, Texas",48475,80.6,9168,1957 of 3143
"Matanuska-Susitna Borough, Alaska",02170,80.6,86075,1958 of 3143
"Sangamon County, Illinois",17167,80.6,158534,1959 of 3143
"Douglas County, Kansas",20045,80.5,95599,1960 of 3143
"New Kent County, Virginia",51127,80.5,18130,1961 of 3143
"Lyon County, Nevada",32019,80.5,46704,1962 of 3143
"Kerr County, Texas",48265,80.4,42160,1963 of 3143
"Marshall County, Iowa",19127,80.4,32283,1964 of 3143
"Gulf County, Florida",12045,80.4,12229,1965 of 3143
"Talbot County, Maryland",24041,80.4,30164,1966 of 3143
"Archuleta County, Colorado",08007,80.4,10664,1967 of 3143
"Whitman County, Washington",53075,80.4,38736,1968 of 3143
"Mono County, California",06051,80.3,10677,1969 of 3143
"McKenzie County, North Dakota",38053,80.2,11040,1970 of 3143
"Comanche County, Texas",48093,80.2,10860,1971 of 3143
"Grant County, New Mexico",35017,80.2,22600,1972 of 3143
"Wakulla County, Florida",12129,80.2,26579,1973 of 3143
"Greer County, Oklahoma",40055,80.2,4449,1974 of 3143
"Bingham County, Idaho",16011,80.1,38098,1975 of 3143
"Gray County, Texas",48179,80.1,17135,1976 of 3143
"Ulster County, New York",36111,80.1,145592,1977 of 3143
"Warren County, Kentucky",21227,80.1,106641,1978 of 3143
"Horry County, South Carolina",45051,80,275951,1979 of 3143
"Monmouth County, New Jersey",34025,80,513756,1980 of 3143
"Perry County, Mississippi",28111,80,9288,1981 of 3143
"Worcester County, Massachusetts",25027,80,685319,1982 of 3143
"Walla Walla County, Washington",53071,80,49721,1983 of 3143
"Dyer County, Tennessee",47045,80,29568,1984 of 3143
"Boone County, Missouri",29019,80,145668,1985 of 3143
"Campbell County, Virginia",51031,80,44501,1986 of 3143
"Monroe County, Florida",12087,79.9,65748,1987 of 3143
"Shawnee County, Kansas",20177,79.9,143138,1988 of 3143
"Albemarle County, Virginia",51003,79.9,89074,1989 of 3143
"Denali, Alaska",02068,79.9,1748,1990 of 3143
"Williams County, North Dakota",38105,79.9,30729,1991 of 3143
"Woodbury County, Iowa",19193,79.9,83966,1992 of 3143
"Swisher County, Texas",48437,79.9,5636,1993 of 3143
"Polk County, Texas",48373,79.9,39440,1994 of 3143
"Washington County, Maryland",24043,79.9,122969,1995 of 3143
"San Luis Obispo County, California",06079,79.9,225822,1996 of 3143
"Gloucester County, New Jersey",34015,79.8,240146,1997 of 3143
"Johnson County, Iowa",19103,79.8,121135,1998 of 3143
"St. Tammany Parish, Louisiana",22103,79.7,209458,1999 of 3143
"Malheur County, Oregon",41045,79.7,24957,2000 of 3143
"West Carroll Parish, Louisiana",22123,79.7,7934,2001 of 3143
"Vermilion Parish, Louisiana",22113,79.7,46023,2002 of 3143
"Calhoun County, Michigan",26025,79.7,106904,2003 of 3143
"Tripp County, South Dakota",46123,79.6,4472,2004 of 3143
"Lee County, Texas",48287,79.6,13848,2005 of 3143
"New Hanover County, North Carolina",37129,79.6,179231,2006 of 3143
"Churchill County, Nevada",32001,79.6,19955,2007 of 3143
"Collier County, Florida",12021,79.6,296596,2008 of 3143
"New Madrid County, Missouri",29143,79.5,13246,2009 of 3143
"Willacy County, Texas",48489,79.5,16239,2010 of 3143
"Dakota County, Minnesota",27037,79.5,346508,2011 of 3143
"Walworth County, South Dakota",46129,79.5,4257,2012 of 3143
"Umatilla County, Oregon",41059,79.5,63203,2013 of 3143
"Kiowa County, Oklahoma",40075,79.5,6769,2014 of 3143
"Blaine County, Oklahoma",40011,79.4,6989,2015 of 3143
"Moore County, North Carolina",37125,79.4,78304,2016 of 3143
"Skagit County, Washington",53057,79.4,101807,2017 of 3143
"Grant Parish, Louisiana",22043,79.3,17643,2018 of 3143
"Cotton County, Oklahoma",40033,79.3,4445,2019 of 3143
"Sussex County, Delaware",10005,79.3,185671,2020 of 3143
"Colfax County, New Mexico",35007,79.3,9839,2021 of 3143
"Tippecanoe County, Indiana",18157,79.3,147472,2022 of 3143
"Franklin County, Florida",12037,79.3,9700,2023 of 3143
"Calvert County, Maryland",24009,79.3,73328,2024 of 3143
"Suwannee County, Florida",12121,79.2,34479,2025 of 3143
"Scurry County, Texas",48415,79.2,13454,2026 of 3143
"Tompkins County, New York",36109,79.2,83655,2027 of 3143
"Chambers County, Texas",48071,79.2,35837,2028 of 3143
"Orange County, Virginia",51137,79.2,28506,2029 of 3143
"Montezuma County, Colorado",08083,79.2,20520,2030 of 3143
"McCulloch County, Texas",48307,79.2,6077,2031 of 3143
"Sherman County, Texas",48421,79.1,1865,2032 of 3143
"Kalamazoo County, Michigan",26077,79.1,206735,2033 of 3143
"Dallam County, Texas",48111,79.1,5645,2034 of 3143
"Flagler County, Florida",12035,79.1,90103,2035 of 3143
"Baker County, Florida",12003,79.1,22150,2036 of 3143
"Caldwell Parish, Louisiana",22021,79.1,7676,2037 of 3143
"Lake County, Colorado",08065,79.1,5865,2038 of 3143
"Bay County, Florida",12005,79.1,143397,2039 of 3143
"Okeechobee County, Florida",12093,79,31392,2040 of 3143
"Muskegon County, Michigan",26121,79,138802,2041 of 3143
"Webster County, Mississippi",28155,79,7852,2042 of 3143
"Goochland County, Virginia",51075,79,19191,2043 of 3143
"Oglethorpe County, Georgia",13221,79,11671,2044 of 3143
"Crawford County, Iowa",19047,79,13072,2045 of 3143
"Love County, Oklahoma",40085,78.9,7977,2046 of 3143
"Forest County, Wisconsin",55041,78.9,7248,2047 of 3143
"Payne County, Oklahoma",40119,78.9,64556,2048 of 3143
"Montgomery County, Texas",48339,78.9,479464,2049 of 3143
"Washington County, Florida",12133,78.8,19633,2050 of 3143
"Middlesex County, Virginia",51119,78.8,8422,2051 of 3143
"Brevard County, Florida",12009,78.8,474112,2052 of 3143
"King William County, Virginia",51101,78.8,13795,2053 of 3143
"Menard County, Texas",48327,78.7,1560,2054 of 3143
"Kitsap County, Washington",53035,78.7,215001,2055 of 3143
"Garfield County, Oklahoma",40047,78.7,49301,2056 of 3143
"Acadia Parish, Louisiana",22001,78.7,45812,2057 of 3143
"Shelby County, Alabama",01117,78.7,173773,2058 of 3143
"Macomb County, Michigan",26099,78.6,691360,2059 of 3143
