Demographic Data Report for United States by County,,,,
Population: White,,,,
"All Ages, Both Sexes",,,,
2017-2021 American Community Survey 5-Year Data,,,,
Sorted by Value,,,,
,,,,
County,fips,Value (Percent),People (White),Rank within US
"Hamlin County, South Dakota",46057,96.2,5897,203 of 3143
"Logan County, West Virginia",54045,96.2,31554,204 of 3143
"Yates County, New York",36123,96.2,23875,205 of 3143
"Mercer County, Ohio",39107,96.2,40567,206 of 3143
"Breathitt County, Kentucky",21025,96.2,13138,207 of 3143
"Sheridan County, North Dakota",38083,96.2,1278,208 of 3143
"Owen County, Indiana",18119,96.2,20478,209 of 3143
"Scott County, Illinois",17171,96.2,4737,210 of 3143
"Preble County, Ohio",39135,96.2,39471,211 of 3143
"Holt County, Missouri",29087,96.2,4132,212 of 3143
"Decatur County, Kansas",20039,96.2,2686,213 of 3143
"Garrett County, Maryland",24023,96.2,27851,214 of 3143
"Holt County, Nebraska",31089,96.2,9787,215 of 3143
"Gage County, Nebraska",31067,96.2,20876,216 of 3143
"Stark County, Illinois",17175,96.2,5228,217 of 3143
"Hamilton County, Illinois",17065,96.2,7714,218 of 3143
"Presque Isle County, Michigan",26141,96.2,12479,219 of 3143
"Audubon County, Iowa",19009,96.2,5440,220 of 3143
"Hancock County, Illinois",17067,96.2,17069,221 of 3143
"Grayson County, Kentucky",21085,96.2,25340,222 of 3143
"Perkins County, Nebraska",31135,96.2,2755,223 of 3143
"Greene County, Illinois",17061,96.2,11719,224 of 3143
"Craig County, Virginia",51045,96.2,4725,225 of 3143
"Jackson County, Ohio",39079,96.1,31276,226 of 3143
"Morrison County, Minnesota",27097,96.1,32562,227 of 3143
"Carroll County, Ohio",39019,96.1,25820,228 of 3143
"Bath County, Kentucky",21011,96.1,12184,229 of 3143
"Elliott County, Kentucky",21063,96.1,7123,230 of 3143
"Ohio County, Indiana",18115,96.1,5698,231 of 3143
"Macoupin County, Illinois",17117,96.1,43378,232 of 3143
"Brown County, Indiana",18013,96.1,14837,233 of 3143
"Jefferson County, Nebraska",31095,96.1,6929,234 of 3143
"Auglaize County, Ohio",39011,96.1,44458,235 of 3143
"Nemaha County, Kansas",20131,96.1,9795,236 of 3143
"Buffalo County, Wisconsin",55011,96.1,12789,237 of 3143
"DeKalb County, Indiana",18033,96.1,41360,238 of 3143
"Coshocton County, Ohio",39031,96.1,35176,239 of 3143
"Dallas County, Missouri",29059,96.1,16277,240 of 3143
"Greenup County, Kentucky",21089,96,34574,241 of 3143
"Clay County, Indiana",18021,96,25354,242 of 3143
"Carroll County, New Hampshire",33003,96,47983,243 of 3143
"Sanborn County, South Dakota",46111,96,2277,244 of 3143
"Spencer County, Indiana",18147,96,19158,245 of 3143
"Calhoun County, Illinois",17013,96,4357,246 of 3143
"Washington County, Kansas",20201,96,5311,247 of 3143
"Appanoose County, Iowa",19007,96,11820,248 of 3143
"Sublette County, Wyoming",56035,96,8478,249 of 3143
"Somerset County, Maine",23025,96,48411,250 of 3143
"Pike County, Indiana",18125,96,11732,251 of 3143
"Bradford County, Pennsylvania",42015,96,57824,252 of 3143
"Clark County, Missouri",29045,96,6383,253 of 3143
"Vernon County, Wisconsin",55123,96,29490,254 of 3143
"Seward County, Nebraska",31159,96,16898,255 of 3143
"Starke County, Indiana",18149,96,22339,256 of 3143
"Tuscarawas County, Ohio",39157,96,89283,257 of 3143
"Davis County, Iowa",19051,96,8701,258 of 3143
"Benton County, Iowa",19011,96,24621,259 of 3143
"Marshall County, West Virginia",54051,96,29569,260 of 3143
"Montmorency County, Michigan",26119,95.9,8792,261 of 3143
"Maries County, Missouri",29125,95.9,8113,262 of 3143
"Crittenden County, Kentucky",21055,95.9,8631,263 of 3143
"Jersey County, Illinois",17083,95.9,20656,264 of 3143
"Lafayette County, Wisconsin",55065,95.9,15982,265 of 3143
"Miller County, Missouri",29131,95.9,23634,266 of 3143
"Warren County, Pennsylvania",42123,95.9,37202,267 of 3143
"Knox County, Missouri",29103,95.9,3627,268 of 3143
"Morgan County, Indiana",18109,95.9,68466,269 of 3143
"Christian County, Illinois",17021,95.9,32640,270 of 3143
"Clinton County, Kentucky",21053,95.9,8987,271 of 3143
"Knox County, Kentucky",21121,95.9,29118,272 of 3143
"Washington County, Nebraska",31177,95.9,19847,273 of 3143
"Franklin County, Illinois",17055,95.9,36500,274 of 3143
"Nicholas County, Kentucky",21181,95.9,7207,275 of 3143
"De Witt County, Illinois",17039,95.9,15007,276 of 3143
"Clay County, Kansas",20027,95.9,7751,277 of 3143
"Mingo County, West Virginia",54059,95.9,22836,278 of 3143
"Adams County, Iowa",19003,95.9,3544,279 of 3143
"Roberts County, Texas",48393,95.9,694,280 of 3143
"Lyon County, Iowa",19119,95.9,11457,281 of 3143
"Switzerland County, Indiana",18155,95.8,9460,282 of 3143
"Gasconade County, Missouri",29073,95.8,14187,283 of 3143
"Ashe County, North Carolina",37009,95.8,25491,284 of 3143
"Marinette County, Wisconsin",55075,95.8,39983,285 of 3143
"Iron County, Wisconsin",55051,95.8,5821,286 of 3143
"Ashland County, Ohio",39005,95.8,50463,287 of 3143
"Winneshiek County, Iowa",19191,95.8,19262,288 of 3143
"Casey County, Kentucky",21045,95.8,15201,289 of 3143
"Hickory County, Missouri",29085,95.8,8077,290 of 3143
"Hitchcock County, Nebraska",31087,95.8,2520,291 of 3143
"Franklin County, Nebraska",31061,95.8,2792,292 of 3143
"Clarion County, Pennsylvania",42031,95.8,35995,293 of 3143
"Real County, Texas",48385,95.8,2732,294 of 3143
"Ozark County, Missouri",29153,95.8,8299,295 of 3143
"Stoddard County, Missouri",29207,95.8,27597,296 of 3143
"Jay County, Indiana",18075,95.8,19701,297 of 3143
"Stone County, Missouri",29209,95.8,29703,298 of 3143
"Harrison County, Indiana",18061,95.8,37839,299 of 3143
"Hillsdale County, Michigan",26059,95.8,43734,300 of 3143
"Turner County, South Dakota",46125,95.8,8255,300 of 3143
"Lawrence County, Indiana",18093,95.7,43214,302 of 3143
"Hocking County, Ohio",39073,95.7,26981,303 of 3143
"Pulaski County, Kentucky",21199,95.7,61955,304 of 3143
"Crawford County, Ohio",39033,95.7,40145,305 of 3143
"Morrow County, Ohio",39117,95.7,33399,306 of 3143
"Giles County, Virginia",51071,95.7,16046,307 of 3143
"Rusk County, Wisconsin",55107,95.7,13574,308 of 3143
"Smith County, Kansas",20183,95.7,3434,309 of 3143
"Wabasha County, Minnesota",27157,95.7,20505,310 of 3143
"Iowa County, Iowa",19095,95.7,15883,311 of 3143
"Mifflin County, Pennsylvania",42087,95.7,44173,312 of 3143
"Clay County, Illinois",17025,95.7,12741,313 of 3143
"LaGrange County, Indiana",18087,95.7,38362,314 of 3143
"Sullivan County, New Hampshire",33019,95.7,41252,315 of 3143
"Hampshire County, West Virginia",54027,95.7,22215,316 of 3143
"Ida County, Iowa",19093,95.7,6678,317 of 3143
"LaMoure County, North Dakota",38045,95.7,3993,318 of 3143
"Mitchell County, Kansas",20123,95.7,5630,319 of 3143
"Wood County, West Virginia",54107,95.7,81014,320 of 3143
"Huron County, Michigan",26063,95.7,30174,321 of 3143
"Nance County, Nebraska",31125,95.7,3242,322 of 3143
"Jennings County, Indiana",18079,95.7,26418,323 of 3143
"Shelby County, Iowa",19165,95.7,11239,324 of 3143
"Snyder County, Pennsylvania",42109,95.6,38141,325 of 3143
"Cleburne County, Arkansas",05023,95.6,23766,326 of 3143
"Rowan County, Kentucky",21205,95.6,23580,327 of 3143
"Grant County, Wisconsin",55043,95.6,49935,328 of 3143
"Bath County, Virginia",51017,95.6,4058,329 of 3143
"McCook County, South Dakota",46087,95.6,5428,330 of 3143
"Perry County, Pennsylvania",42099,95.6,43873,331 of 3143
"Spencer County, Kentucky",21215,95.6,18413,332 of 3143
"Alcona County, Michigan",26001,95.6,9694,333 of 3143
"Mercer County, Missouri",29129,95.6,3405,334 of 3143
"Wyandot County, Ohio",39175,95.6,20972,335 of 3143
"Boone County, Iowa",19015,95.6,25544,336 of 3143
"Meeker County, Minnesota",27093,95.6,22243,337 of 3143
"Lincoln County, Wisconsin",55069,95.6,27125,338 of 3143
"Mercer County, Illinois",17131,95.6,15082,339 of 3143
"Wayne County, Iowa",19185,95.6,6216,340 of 3143
"Monona County, Iowa",19133,95.6,8345,341 of 3143
"Fulton County, Pennsylvania",42057,95.6,13884,342 of 3143
"Atchison County, Missouri",29005,95.6,5076,343 of 3143
"Washington County, Virginia",51191,95.6,51598,343 of 3143
"Crawford County, Indiana",18025,95.6,10044,345 of 3143
"Morris County, Kansas",20127,95.6,5138,346 of 3143
"Wyoming County, Pennsylvania",42131,95.5,25214,347 of 3143
"Franklin County, Maine",23007,95.5,28174,348 of 3143
"Fleming County, Kentucky",21069,95.5,14327,349 of 3143
"Union County, Iowa",19175,95.5,11649,350 of 3143
"Scott County, Indiana",18143,95.5,23204,351 of 3143
"Juniata County, Pennsylvania",42067,95.5,22550,352 of 3143
"Waldo County, Maine",23027,95.5,37842,353 of 3143
"Claiborne County, Tennessee",47025,95.5,30524,354 of 3143
"Ogemaw County, Michigan",26129,95.5,19814,355 of 3143
"Oneida County, Wisconsin",55085,95.5,35782,356 of 3143
"Shiawassee County, Michigan",26155,95.5,65133,357 of 3143
"Hancock County, Iowa",19081,95.5,10349,358 of 3143
"Kearney County, Nebraska",31099,95.5,6340,359 of 3143
"Lincoln County, Kansas",20105,95.5,2819,360 of 3143
"Perry County, Missouri",29157,95.5,18149,361 of 3143
"Ontonagon County, Michigan",26131,95.5,5625,362 of 3143
"Ringgold County, Iowa",19159,95.5,4525,363 of 3143
"Chenango County, New York",36017,95.5,45266,364 of 3143
"Hancock County, Kentucky",21091,95.5,8641,365 of 3143
"Clare County, Michigan",26035,95.5,29433,366 of 3143
"Coos County, New Hampshire",33007,95.5,29941,367 of 3143
