FIPS,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
13263,33.2,5,4.3,2.1,25.7,5.2,16.6,2.5,13.4,3.5,25.9,0,16.3,0,23.3,2.8,3.9,1.9,0,1.4,59.5,0.6,1.1,0.8,32,5.1,1.1,1.2,11.6,3.3,0.5,0.5,0.861,0.4038,0.7945,0.8199,0.8088,3.688,0.8731,0.9039,0.049,0.929,0.1871,0,2.069,0.2463,0.9176,0.9176,0.9176,0.1969,0.9612,0.2027,0.9577,0.0388,2.3573,0.4324,9.0319,0.6923,0,0,0,0,0,0,1,0,1,0,0,2,1,1,0,1,0,1,0,2,5,3140,29.6,3.8,56.5,1.5,0.9,0.9,0.2,0.2,0.1,0.1,0,0.8,1.5,1.1,0.3,0.5
13265,27.3,10,4,3.4,21.6,5.8,15.7,5.1,12.5,7.7,28,6.7,14.6,4.2,22.6,5.1,8.2,12.2,0,3.6,64.6,15.3,0.8,0.9,37.8,9,1.2,0.7,8.6,3.9,0.2,0.1,0.6901,0.3509,0.5002,0.7891,0.7747,3.105,0.7098,0.9446,0.0181,0.9115,0.8686,0,2.7428,0.6892,0.9418,0.9418,0.9418,0.1406,0.9863,0.2393,0.8568,0.0191,2.2421,0.3732,9.0317,0.692,0,0,0,0,0,0,1,0,1,0,0,2,1,1,0,1,0,0,0,1,4,1214,40.4,9.1,50.3,9.7,6,6.4,0.1,0.1,0,2.9,0.2,0.4,5.4,5.1,2.6,3.4
13267,34,4.8,8,3.2,20,3.9,21.7,2.5,15.2,2.6,14.3,0.3,20.3,0.1,18,2.1,8.4,2,2.6,0.8,44,0.5,0.2,0.3,33.5,3.8,3.2,1.1,6.2,2.7,21,0.3,0.8785,0.9115,0.3624,0.9446,0.8721,3.9691,0.9313,0.112,0.2902,0.6892,0.8826,0.8295,2.8035,0.7219,0.819,0.819,0.819,0.0414,0.9656,0.7973,0.6223,0.9873,3.4139,0.9217,11.0055,0.9287,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,4,18061,22.4,4,28,0.8,12.5,0,0.3,0.4,0.1,0.1,0,0.2,2.3,0.7,0.8,0.4
13269,44.5,5.9,6.6,3.3,38,6.7,26,4.1,11.6,3.4,20.9,0,20.2,0,19.6,3.2,8.1,3.7,0.3,100,42,0.3,0.9,0.9,35.4,4.8,1.9,1.3,10.1,3.4,2.6,0.1,0.98,0.8142,0.9971,0.978,0.7273,4.4966,0.9873,0.6542,0.2781,0.7868,0.8597,0.2475,2.8263,0.7381,0.8021,0.8021,0.8021,0.1594,0.9768,0.5087,0.9233,0.6064,3.1746,0.8339,11.2996,0.9555,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,2,5,6838,31.1,6.1,38.5,1.9,0.7,0.8,0.9,0.7,0,0.1,0,0.6,1.9,1.2,0,0.6
13271,45.2,6.7,2.1,1.5,20.3,5.4,24.5,3.6,12,3.1,17.6,0.2,23.8,3,23.4,5.5,10.8,3.3,5.4,3.2,53.4,0.2,0.5,0.5,23,3.7,4.3,1.5,11.1,4,20.1,2,0.9838,0.0732,0.3917,0.9704,0.7477,3.1668,0.7273,0.3258,0.748,0.9329,0.9631,0.9341,3.9039,0.9978,0.8867,0.8867,0.8867,0.0923,0.8616,0.8921,0.9504,0.9857,3.7821,0.9841,11.7395,0.9765,1,0,0,1,0,2,0,0,1,1,1,3,0,0,0,0,0,1,1,2,7,10713,30.8,5.9,35.1,0.6,17.4,0,0.1,0.1,0,0.1,0,0.4,0.7,0.6,0.1,0.1
13273,39.7,5.1,8.7,3.4,26.2,5.9,18.1,3.1,18.2,3,19.8,0.5,22.7,0,15.1,2.1,12.9,3.7,0.2,0.9,64,0.2,2.9,2.1,14.3,3.1,3.6,1.8,11.8,3.6,3.5,0.3,0.9545,0.9338,0.8167,0.8686,0.9357,4.5093,0.9885,0.5453,0.5997,0.4391,0.9863,0.1661,2.7365,0.6853,0.9399,0.9399,0.9399,0.4804,0.6551,0.8412,0.9596,0.7178,3.6541,0.9704,11.8398,0.9809,1,1,0,0,1,3,0,0,0,1,0,1,1,1,0,0,0,1,0,1,6,6543,23.5,4.9,58.4,1.9,3,0,2.4,1.9,0,0.5,0,0.5,0.3,0.2,0,0.5
13275,28,2.2,6.2,1.2,26.4,2.9,13.7,1.6,12.6,1.7,18.3,0.2,23.9,0.2,18.3,1.6,8.9,1.5,0.9,0.4,42.5,0.1,1.5,0.7,18.8,2,1.3,0.5,4.4,1.3,1.4,0,0.7162,0.7671,0.8266,0.6971,0.7795,3.7865,0.8966,0.3926,0.7639,0.7114,0.909,0.5536,3.3305,0.9408,0.805,0.805,0.805,0.2695,0.7773,0.2765,0.3217,0.2943,1.9393,0.2243,9.8613,0.8158,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,51145,16.2,2,35.9,0.5,3.9,0,0.8,0.3,0.2,0.1,0,0.1,1.7,0.6,0,0.2
13277,32,3.4,2.9,1.1,25.7,3.6,16.1,2,16.8,2.6,15.3,0.2,25,0.1,10.8,1.3,10.1,2.6,2,0.7,45.9,0.3,3.2,1.1,21.6,2.3,1.3,0.7,8.2,1.9,4.7,0.2,0.8352,0.1588,0.7945,0.804,0.9125,3.505,0.8193,0.1575,0.8521,0.0913,0.9485,0.7773,2.8267,0.7388,0.8428,0.8428,0.8428,0.5164,0.8409,0.2765,0.8336,0.8021,3.2695,0.8727,10.444,0.8759,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,52055,29.5,3.3,28.9,0.9,12.6,0,1.1,0.3,0.1,0.1,0,0.1,3,1.1,0.1,0.1
13279,34.5,4,6.2,2.1,28.2,4.4,17,2.7,17,2.6,17,0.3,26.3,0.1,17.8,2.3,8.1,2.1,2.7,0.9,41.7,0.9,1.6,0.8,24.5,3.1,2.8,1.2,10.3,3,1.8,0,0.8871,0.7671,0.8899,0.8307,0.9154,4.2902,0.9752,0.2759,0.9201,0.6742,0.8597,0.8361,3.566,0.9777,0.7989,0.7989,0.7989,0.2867,0.8883,0.7362,0.9287,0.4321,3.272,0.8743,11.9271,0.9857,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,3,27160,22,3.5,23.8,1.6,12.1,0,0.8,0.2,0.3,0.3,0,0.2,4.7,1.8,0.1,0.1
13281,26.8,3.9,5.5,2.5,26.5,5.1,7.8,2.2,14.5,2.2,35.5,0.4,12.4,0.4,18.6,2.4,3.4,1.5,0.2,0.8,6.4,0.3,3.6,1,17,3,1.9,0.7,3.4,1.5,6.9,0.3,0.6685,0.6583,0.8301,0.2765,0.8514,3.2848,0.7607,0.992,0.007,0.7327,0.1231,0.1661,2.0209,0.2141,0.119,0.119,0.119,0.5641,0.7334,0.5087,0.1693,0.882,2.8575,0.6911,8.2822,0.5622,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13094,15,3.4,1.3,0.5,2.9,0,0.2,0.2,0.1,0.1,0,0.1,1.8,0.5,0.1,0.2
13283,43.8,7.4,10.9,4,25.6,6.5,26.4,5.9,14.5,3.9,20.4,3.1,23.4,3.5,22.2,4.3,7.2,2.4,0,1.3,34.1,4.4,0.2,0.8,23.2,5.1,0.8,0.8,9.9,3.6,8.2,0.3,0.9784,0.9758,0.7887,0.9793,0.8514,4.5736,0.9943,0.6052,0.6962,0.9017,0.7706,0,2.9737,0.8161,0.714,0.714,0.714,0.0414,0.8651,0.1193,0.9163,0.9058,2.8479,0.685,11.1092,0.9389,1,1,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,1,1,2,6,4426,29.4,7,28.5,4,0.9,0.9,0,0.7,0.1,0.1,0,0.7,4.5,2.4,0,0.7
13285,29.7,2.5,4.8,1.3,32.5,2.9,11.7,1.4,10.2,1.4,15.4,0.2,24.3,0.1,16.9,1.1,9.2,1.5,1,0.4,44.9,0.2,10.2,1.9,5.6,1.1,3,0.7,9.2,1.6,2.1,0,0.7703,0.518,0.9733,0.5835,0.6328,3.4779,0.8145,0.1613,0.8034,0.6052,0.9192,0.5861,3.0752,0.8613,0.8304,0.8304,0.8304,0.8705,0.2902,0.7677,0.8896,0.5145,3.3325,0.896,10.716,0.9023,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,77517,16.1,2,36.1,0.8,3.9,0,2.4,0.2,0.1,0.1,0,0.1,2.1,0.7,0.3,0.2
