Demographic Data Report for United States by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Male"
2017-2021 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Bourbon County, Kentucky",21017,8.4,557,"2770 of 3143"
"Prince Georges County, Maryland",24033,8.4,25866,"2769 of 3143"
"Laurel County, Kentucky",21125,8.4,1734,"2768 of 3143"
"Lake County, Tennessee",47095,8.4,299,"2767 of 3143"
"Hemphill County, Texas",48211,8.4,100,"2766 of 3143"
"Hidalgo County, New Mexico",35023,8.4,123,"2765 of 3143"
"Peach County, Georgia",13225,8.4,718,"2764 of 3143"
"McCulloch County, Texas",48307,8.3,225,"2763 of 3143"
"Fayette County, Alabama",01057,8.3,463,"2762 of 3143"
"Monroe County, Arkansas",05095,8.3,183,"2761 of 3143"
"Scott County, Arkansas",05127,8.3,293,"2760 of 3143"
"Cleburne County, Alabama",01029,8.3,421,"2759 of 3143"
"Yell County, Arkansas",05149,8.3,581,"2758 of 3143"
"Clinton County, Kentucky",21053,8.3,273,"2757 of 3143"
"Webster County, Kentucky",21233,8.3,364,"2756 of 3143"
"Granville County, North Carolina",37077,8.3,1783,"2755 of 3143"
"Monroe County, Tennessee",47123,8.3,1338,"2754 of 3143"
"Hampton County, South Carolina",45049,8.3,555,"2753 of 3143"
"San Bernardino County, California",06071,8.3,56035,"2752 of 3143"
"Cass County, Illinois",17017,8.3,355,"2751 of 3143"
"Kemper County, Mississippi",28069,8.3,236,"2750 of 3143"
"Henry County, Alabama",01067,8.3,478,"2749 of 3143"
"Midland County, Texas",48329,8.3,4338,"2748 of 3143"
"Throckmorton County, Texas",48447,8.2,41,"2747 of 3143"
"La Salle Parish, Louisiana",22059,8.2,417,"2746 of 3143"
"Dixie County, Florida",12029,8.2,572,"2745 of 3143"
"Cross County, Arkansas",05037,8.2,451,"2744 of 3143"
"Hettinger County, North Dakota",38041,8.2,72,"2743 of 3143"
"Roosevelt County, New Mexico",35041,8.2,452,"2742 of 3143"
"Towner County, North Dakota",38095,8.2,65,"2741 of 3143"
"Iberville Parish, Louisiana",22047,8.2,885,"2740 of 3143"
"Pulaski County, Georgia",13235,8.2,249,"2739 of 3143"
"Kings County, New York",36047,8.2,71076,"2738 of 3143"
"Campbell County, Tennessee",47013,8.2,1134,"2737 of 3143"
"Okeechobee County, Florida",12093,8.2,1231,"2736 of 3143"
"Jefferson County, Oklahoma",40067,8.2,151,"2735 of 3143"
"Amelia County, Virginia",51007,8.2,401,"2734 of 3143"
"Dunklin County, Missouri",29069,8.2,705,"2733 of 3143"
"Whitley County, Kentucky",21235,8.1,903,"2732 of 3143"
"Bradford County, Florida",12007,8.1,935,"2731 of 3143"
"Wyoming County, West Virginia",54109,8.1,623,"2730 of 3143"
"Marion County, Georgia",13197,8.1,220,"2729 of 3143"
"Braxton County, West Virginia",54007,8.1,383,"2728 of 3143"
"Martin County, North Carolina",37117,8.1,593,"2727 of 3143"
"Ritchie County, West Virginia",54085,8.1,255,"2726 of 3143"
"Stevens County, Kansas",20189,8.1,135,"2725 of 3143"
"Chesterfield County, South Carolina",45025,8.1,1181,"2724 of 3143"
"Miami-Dade County, Florida",12086,8.1,74461,"2723 of 3143"
"Franklin County, Florida",12037,8.1,438,"2722 of 3143"
"Barren County, Kentucky",21009,8.1,1161,"2721 of 3143"
"Galax City, Virginia",51640,8.1,166,"2720 of 3143"
"Aransas County, Texas",48007,8.0,722,"2719 of 3143"
"Randolph County, Arkansas",05121,8.0,502,"2718 of 3143"
"Blount County, Alabama",01009,8.0,1601,"2717 of 3143"
"Evans County, Georgia",13109,8.0,264,"2716 of 3143"
"Menard County, Texas",48327,8.0,62,"2715 of 3143"
"Claiborne County, Mississippi",28021,8.0,189,"2714 of 3143"
"Emanuel County, Georgia",13107,8.0,587,"2713 of 3143"
"Northampton County, North Carolina",37131,8.0,527,"2712 of 3143"
"Wilkinson County, Mississippi",28157,8.0,275,"2711 of 3143"
