Demographic Data Report for United States by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Male"
2017-2021 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Hart County, Georgia",13147,5.7,526,"2273 of 3143"
"Cherokee County, Kansas",20021,5.7,371,"2272 of 3143"
"Haywood County, Tennessee",47075,5.7,329,"2271 of 3143"
"Hopkins County, Texas",48223,5.7,682,"2270 of 3143"
"Anson County, North Carolina",37007,5.7,464,"2269 of 3143"
"Hawkins County, Tennessee",47073,5.7,1149,"2268 of 3143"
"Rockland County, New York",36087,5.7,5777,"2267 of 3143"
"Kidder County, North Dakota",38043,5.7,52,"2266 of 3143"
"Kosciusko County, Indiana",18085,5.7,1523,"2265 of 3143"
"Scotts Bluff County, Nebraska",31157,5.7,657,"2264 of 3143"
"Johnson County, Illinois",17087,5.7,306,"2263 of 3143"
"Tom Green County, Texas",48451,5.7,2151,"2262 of 3143"
"Suwannee County, Florida",12121,5.7,909,"2261 of 3143"
"Seminole County, Oklahoma",40133,5.7,432,"2260 of 3143"
"Wapello County, Iowa",19179,5.7,677,"2259 of 3143"
"Coffee County, Tennessee",47031,5.7,1074,"2258 of 3143"
"Motley County, Texas",48345,5.7,27,"2257 of 3143"
"Mecklenburg County, Virginia",51117,5.7,622,"2256 of 3143"
"Yalobusha County, Mississippi",28161,5.7,240,"2255 of 3143"
"Mitchell County, Georgia",13205,5.7,449,"2254 of 3143"
"Clarke County, Alabama",01025,5.7,431,"2253 of 3143"
"Lawrence County, Illinois",17101,5.7,371,"2252 of 3143"
"Clinton County, Indiana",18023,5.7,597,"2251 of 3143"
"Webster County, Missouri",29225,5.7,720,"2250 of 3143"
"Santa Clara County, California",06085,5.7,38841,"2249 of 3143"
"Oklahoma County, Oklahoma",40109,5.7,14142,"2248 of 3143"
"Nash County, North Carolina",37127,5.7,1746,"2247 of 3143"
"Alamance County, North Carolina",37001,5.7,3007,"2246 of 3143"
"New Madrid County, Missouri",29143,5.7,305,"2245 of 3143"
"Cuming County, Nebraska",31039,5.7,179,"2244 of 3143"
"Putnam County, Georgia",13237,5.7,433,"2243 of 3143"
"Stanly County, North Carolina",37167,5.7,1218,"2242 of 3143"
"Vermilion Parish, Louisiana",22113,5.7,1033,"2241 of 3143"
"Las Animas County, Colorado",08071,5.7,312,"2240 of 3143"
"Obion County, Tennessee",47131,5.7,585,"2239 of 3143"
"Taylor County, Iowa",19173,5.6,114,"2238 of 3143"
"Snyder County, Pennsylvania",42109,5.6,739,"2237 of 3143"
"Madison County, Virginia",51113,5.6,276,"2236 of 3143"
"Polk County, Florida",12105,5.6,13495,"2235 of 3143"
"Jackson County, Georgia",13157,5.6,1377,"2234 of 3143"
"Lipscomb County, Texas",48295,5.6,50,"2233 of 3143"
"Bartow County, Georgia",13015,5.6,1983,"2232 of 3143"
"Danville City, Virginia",51590,5.6,731,"2231 of 3143"
"Clark County, Nevada",32003,5.6,42631,"2230 of 3143"
"Camp County, Texas",48063,5.6,214,"2229 of 3143"
"San Diego County, California",06073,5.6,62821,"2228 of 3143"
"Franklin County, Tennessee",47051,5.6,783,"2226 of 3143"
"Hughes County, Oklahoma",40063,5.6,273,"2226 of 3143"
"Graham County, Arizona",04009,5.6,728,"2225 of 3143"
"Panola County, Texas",48365,5.6,419,"2224 of 3143"
"Wayne County, West Virginia",54099,5.6,767,"2223 of 3143"
"Chatham County, North Carolina",37037,5.6,1468,"2222 of 3143"
"McDuffie County, Georgia",13189,5.6,376,"2221 of 3143"
"Itawamba County, Mississippi",28057,5.6,437,"2220 of 3143"
"New York County, New York",36061,5.6,33886,"2219 of 3143"
"Hampden County, Massachusetts",25013,5.6,8417,"2218 of 3143"
"Garrard County, Kentucky",21079,5.6,329,"2217 of 3143"
"Wasco County, Oregon",41065,5.6,515,"2216 of 3143"
"Saline County, Missouri",29195,5.6,419,"2215 of 3143"
"San Francisco County, California",06075,5.6,19758,"2214 of 3143"
"Phillips County, Colorado",08095,5.6,84,"2213 of 3143"
"Madison County, Florida",12079,5.6,402,"2212 of 3143"
"Quay County, New Mexico",35037,5.6,168,"2211 of 3143"
"Kimball County, Nebraska",31105,5.6,71,"2210 of 3143"
"Solano County, California",06095,5.5,8539,"2209 of 3143"
"Armstrong County, Texas",48011,5.5,34,"2208 of 3143"
"Twiggs County, Georgia",13289,5.5,165,"2207 of 3143"
"Piscataquis County, Maine",23021,5.5,363,"2206 of 3143"
"McLennan County, Texas",48309,5.5,4161,"2205 of 3143"
"Hickman County, Tennessee",47081,5.5,514,"2204 of 3143"
"Dixon County, Nebraska",31051,5.5,104,"2203 of 3143"
"Brown County, Illinois",17009,5.5,167,"2202 of 3143"
"Neshoba County, Mississippi",28099,5.5,470,"2201 of 3143"
"Washington County, Georgia",13303,5.5,393,"2200 of 3143"
"Prairie County, Montana",30079,5.5,27,"2199 of 3143"
"Fulton County, Arkansas",05049,5.5,228,"2198 of 3143"
"Vinton County, Ohio",39163,5.5,251,"2197 of 3143"
"Hopewell City, Virginia",51670,5.5,372,"2196 of 3143"
"Edgefield County, South Carolina",45037,5.5,555,"2195 of 3143"
"Navajo County, Arizona",04017,5.5,1901,"2194 of 3143"
"Howard County, Missouri",29089,5.5,178,"2193 of 3143"
"Harding County, New Mexico",35021,5.5,12,"2192 of 3143"
"Garfield County, Oklahoma",40047,5.5,1116,"2191 of 3143"
"Bedford County, Tennessee",47003,5.5,882,"2190 of 3143"
"Marion County, Tennessee",47115,5.5,547,"2189 of 3143"
"Richmond City, Virginia",51760,5.5,4123,"2188 of 3143"
"Cherokee County, South Carolina",45021,5.5,989,"2187 of 3143"
"Tift County, Georgia",13277,5.5,679,"2186 of 3143"
"Tama County, Iowa",19171,5.4,312,"2185 of 3143"
"Walker County, Georgia",13295,5.4,1249,"2184 of 3143"
"Geneva County, Alabama",01061,5.4,492,"2183 of 3143"
"Washington County, Missouri",29221,5.4,466,"2182 of 3143"
"Lubbock County, Texas",48303,5.4,4809,"2181 of 3143"
"Gasconade County, Missouri",29073,5.4,286,"2180 of 3143"
"Santa Fe County, New Mexico",35049,5.4,3009,"2179 of 3143"
"Griggs County, North Dakota",38039,5.4,44,"2178 of 3143"
"Benton County, Arkansas",05007,5.4,4906,"2177 of 3143"
"Dubois County, Indiana",18037,5.4,798,"2176 of 3143"
"Bracken County, Kentucky",21023,5.4,156,"2175 of 3143"
"Fairfield County, Connecticut",09001,5.4,17079,"2174 of 3143"
"McLean County, Kentucky",21149,5.4,170,"2173 of 3143"
"Washington County, Idaho",16087,5.4,198,"2172 of 3143"
"Cottonwood County, Minnesota",27033,5.4,208,"2171 of 3143"
"Newton County, Mississippi",28101,5.4,355,"2170 of 3143"
"Hertford County, North Carolina",37091,5.4,410,"2169 of 3143"
"Nicholas County, Kentucky",21181,5.4,139,"2168 of 3143"
"Trimble County, Kentucky",21223,5.4,163,"2167 of 3143"
"Suffolk County, New York",36103,5.4,28055,"2166 of 3143"
"Jones County, Texas",48253,5.4,507,"2165 of 3143"
"Branch County, Michigan",26023,5.4,876,"2164 of 3143"
"Clark County, Kentucky",21049,5.4,661,"2163 of 3143"
"Limestone County, Alabama",01083,5.4,1926,"2162 of 3143"
"St. Clair County, Alabama",01115,5.4,1680,"2161 of 3143"
"Frederick County, Virginia",51069,5.4,1657,"2160 of 3143"
"Stone County, Mississippi",28131,5.4,336,"2159 of 3143"
"Clare County, Michigan",26035,5.4,608,"2158 of 3143"
"Leslie County, Kentucky",21131,5.4,201,"2157 of 3143"
"Robertson County, Tennessee",47147,5.4,1305,"2156 of 3143"
"Irwin County, Georgia",13155,5.4,192,"2155 of 3143"
"Box Butte County, Nebraska",31013,5.4,197,"2154 of 3143"
"Essex County, Massachusetts",25009,5.4,14213,"2153 of 3143"
"Levy County, Florida",12075,5.4,800,"2152 of 3143"
"Miller County, Georgia",13201,5.4,103,"2150 of 3143"
"Wilson County, Texas",48493,5.4,897,"2150 of 3143"
"Hopkins County, Kentucky",21107,5.4,811,"2149 of 3143"
"Appomattox County, Virginia",51011,5.3,288,"2148 of 3143"
"Independence County, Arkansas",05063,5.3,659,"2147 of 3143"
"Warren County, North Carolina",37185,5.3,361,"2146 of 3143"
"McDowell County, North Carolina",37111,5.3,854,"2145 of 3143"
"Warren County, Missouri",29219,5.3,635,"2144 of 3143"
"Alameda County, California",06001,5.3,31066,"2143 of 3143"
"Logan County, Kansas",20109,5.3,50,"2142 of 3143"
"Carroll County, Ohio",39019,5.3,518,"2141 of 3143"
"Greene County, Virginia",51079,5.3,364,"2140 of 3143"
"Cass County, Texas",48067,5.3,499,"2139 of 3143"
"Union County, Arkansas",05139,5.3,678,"2138 of 3143"
"Oglethorpe County, Georgia",13221,5.3,268,"2137 of 3143"
"Macon County, Alabama",01087,5.3,300,"2135 of 3143"
"Tuscarawas County, Ohio",39157,5.3,1665,"2135 of 3143"
"Johnson County, Texas",48251,5.3,3020,"2134 of 3143"
"Maricopa County, Arizona",04013,5.3,75891,"2133 of 3143"
"Bolivar County, Mississippi",28011,5.3,488,"2132 of 3143"
"Essex County, Virginia",51057,5.3,182,"2131 of 3143"
"Clearfield County, Pennsylvania",42033,5.3,1692,"2130 of 3143"
"Talladega County, Alabama",01121,5.3,1454,"2129 of 3143"
"Sedgwick County, Colorado",08115,5.3,49,"2128 of 3143"
"Sabine County, Texas",48403,5.3,195,"2127 of 3143"
"Brown County, Texas",48049,5.3,688,"2126 of 3143"
"San Mateo County, California",06081,5.3,14260,"2125 of 3143"
"Baldwin County, Georgia",13009,5.3,746,"2124 of 3143"
"Wichita County, Texas",48485,5.3,2199,"2123 of 3143"
"Webster Parish, Louisiana",22119,5.2,646,"2122 of 3143"
"Pettis County, Missouri",29159,5.2,730,"2121 of 3143"
"Cumberland County, Kentucky",21057,5.2,111,"2120 of 3143"
"Marion County, South Carolina",45067,5.2,478,"2119 of 3143"
"Jasper County, Mississippi",28061,5.2,281,"2118 of 3143"
"Henderson County, Texas",48213,5.2,1453,"2117 of 3143"
"Edmunds County, South Dakota",46045,5.2,75,"2116 of 3143"
"Brule County, South Dakota",46015,5.2,91,"2115 of 3143"
"Clay County, Mississippi",28025,5.2,309,"2114 of 3143"
"Canyon County, Idaho",16027,5.2,3633,"2113 of 3143"
"Union County, Florida",12125,5.2,429,"2112 of 3143"
"Elbert County, Georgia",13105,5.2,341,"2111 of 3143"
"Wilkes County, Georgia",13317,5.2,173,"2110 of 3143"
"Hodgeman County, Kansas",20083,5.2,34,"2109 of 3143"
"Philadelphia County, Pennsylvania",42101,5.2,26388,"2108 of 3143"
"Travis County, Texas",48453,5.2,23246,"2107 of 3143"
"Love County, Oklahoma",40085,5.2,176,"2106 of 3143"
"Choctaw County, Alabama",01023,5.2,224,"2105 of 3143"
"Bertie County, North Carolina",37015,5.2,352,"2104 of 3143"
"Sierra County, New Mexico",35051,5.2,236,"2103 of 3143"
"Ashe County, North Carolina",37009,5.2,512,"2102 of 3143"
"Harper County, Kansas",20077,5.2,96,"2101 of 3143"
"Contra Costa County, California",06013,5.2,20187,"2100 of 3143"
"Oconee County, South Carolina",45073,5.2,1441,"2099 of 3143"
"Mecklenburg County, North Carolina",37119,5.2,18265,"2098 of 3143"
"McPherson County, South Dakota",46089,5.2,44,"2097 of 3143"
"Conway County, Arkansas",05029,5.2,361,"2096 of 3143"
"Jackson County, Ohio",39079,5.2,558,"2094 of 3143"
"Osceola County, Florida",12097,5.2,6348,"2094 of 3143"
"Red River Parish, Louisiana",22081,5.2,125,"2093 of 3143"
"Pearl River County, Mississippi",28109,5.2,961,"2092 of 3143"
"Custer County, South Dakota",46033,5.2,168,"2091 of 3143"
"Scotland County, North Carolina",37165,5.2,590,"2090 of 3143"
"Kandiyohi County, Minnesota",27067,5.2,752,"2089 of 3143"
"Unicoi County, Tennessee",47171,5.2,347,"2088 of 3143"
"Yamhill County, Oregon",41071,5.2,1868,"2087 of 3143"
"Lee County, Arkansas",05077,5.2,187,"2086 of 3143"
"Coffee County, Alabama",01031,5.2,905,"2085 of 3143"
"San Juan County, Utah",49037,5.1,223,"2084 of 3143"
"Nolan County, Texas",48353,5.1,236,"2083 of 3143"
"Madison County, Missouri",29123,5.1,217,"2082 of 3143"
"Hickory County, Missouri",29085,5.1,165,"2081 of 3143"
"San Augustine County, Texas",48405,5.1,144,"2080 of 3143"
"Franklin County, North Carolina",37069,5.1,1184,"2079 of 3143"
"Robertson County, Texas",48395,5.1,283,"2078 of 3143"
"Stoddard County, Missouri",29207,5.1,492,"2077 of 3143"
"Williamsburg County, South Carolina",45089,5.1,539,"2076 of 3143"
"Cumberland County, Tennessee",47035,5.1,1146,"2075 of 3143"
"Briscoe County, Texas",48045,5.1,29,"2074 of 3143"
"Chester County, South Carolina",45023,5.1,545,"2073 of 3143"
"Carroll County, Georgia",13045,5.1,1844,"2072 of 3143"
"Laclede County, Missouri",29105,5.1,603,"2071 of 3143"
"Forsyth County, North Carolina",37067,5.1,6082,"2070 of 3143"
"Craighead County, Arkansas",05031,5.1,1704,"2069 of 3143"
"Catawba County, North Carolina",37035,5.1,2748,"2068 of 3143"
"Ashtabula County, Ohio",39007,5.1,1764,"2067 of 3143"
"Red River County, Texas",48387,5.1,210,"2066 of 3143"
"Franklin County, New York",36033,5.1,953,"2065 of 3143"
"Ascension Parish, Louisiana",22005,5.1,2021,"2064 of 3143"
"Franklin County, Texas",48159,5.1,178,"2063 of 3143"
"Sequoyah County, Oklahoma",40135,5.1,664,"2062 of 3143"
"White County, Arkansas",05145,5.1,1231,"2061 of 3143"
"Barry County, Missouri",29009,5.1,613,"2060 of 3143"
"Hillsborough County, Florida",12057,5.1,24546,"2058 of 3143"
"Rowan County, North Carolina",37159,5.1,2513,"2058 of 3143"
"Ralls County, Missouri",29173,5.1,187,"2057 of 3143"
"Covington County, Alabama",01039,5.1,635,"2056 of 3143"
"Madison County, Texas",48313,5.1,274,"2055 of 3143"
"Warren County, Kentucky",21227,5.1,2018,"2054 of 3143"
"Sherman County, Oregon",41055,5.1,33,"2053 of 3143"
"Stewart County, Tennessee",47161,5.1,240,"2052 of 3143"
"Lincoln County, New Mexico",35027,5.1,370,"2051 of 3143"
"Pickens County, Alabama",01107,5.1,328,"2050 of 3143"
"Charles Mix County, South Dakota",46023,5.1,144,"2049 of 3143"
"Dillingham Census Area, Alaska",02070,5.1,77,"2048 of 3143"
"Harnett County, North Carolina",37085,5.1,2172,"2047 of 3143"
"Conecuh County, Alabama",01035,5.1,202,"2046 of 3143"
"Atlantic County, New Jersey",34001,5.1,4627,"2045 of 3143"
"Randolph County, West Virginia",54083,5.1,542,"2044 of 3143"
"Beaufort County, North Carolina",37013,5.1,769,"2043 of 3143"
"Mono County, California",06051,5.1,250,"2042 of 3143"
"Starke County, Indiana",18149,5.1,402,"2041 of 3143"
"Nye County, Nevada",32023,5.1,1005,"2040 of 3143"
"Ozark County, Missouri",29153,5.0,162,"2039 of 3143"
"Montrose County, Colorado",08085,5.0,746,"2038 of 3143"
"Lincoln County, Georgia",13181,5.0,136,"2037 of 3143"
"Cheatham County, Tennessee",47021,5.0,718,"2036 of 3143"
"Choctaw County, Mississippi",28019,5.0,142,"2035 of 3143"
"Darlington County, South Carolina",45031,5.0,1019,"2034 of 3143"
"Rolette County, North Dakota",38079,5.0,175,"2033 of 3143"
"Alfalfa County, Oklahoma",40003,5.0,135,"2032 of 3143"
"Boyle County, Kentucky",21021,5.0,507,"2031 of 3143"
"Madison County, Nebraska",31119,5.0,583,"2030 of 3143"
"Wilcox County, Georgia",13315,5.0,203,"2029 of 3143"
"Callahan County, Texas",48059,5.0,234,"2028 of 3143"
"Van Buren County, Michigan",26159,5.0,1285,"2027 of 3143"
"Franklin County, Indiana",18047,5.0,393,"2026 of 3143"
"Oceana County, Michigan",26127,5.0,475,"2025 of 3143"
"Lamar County, Mississippi",28073,5.0,1008,"2024 of 3143"
"Jefferson Davis Parish, Louisiana",22053,5.0,517,"2023 of 3143"
"Jefferson County, Tennessee",47089,5.0,952,"2022 of 3143"
"Montgomery County, Maryland",24031,5.0,17374,"2021 of 3143"
"Lake County, Illinois",17097,5.0,11569,"2020 of 3143"
"Russell County, Alabama",01113,5.0,940,"2019 of 3143"
"Hunt County, Texas",48231,5.0,1597,"2018 of 3143"
"Greene County, Tennessee",47059,5.0,1222,"2017 of 3143"
"Dickson County, Tennessee",47043,5.0,904,"2016 of 3143"
"Appanoose County, Iowa",19007,5.0,211,"2015 of 3143"
"Floyd County, Virginia",51063,5.0,277,"2014 of 3143"
"St. Francois County, Missouri",29187,5.0,1285,"2013 of 3143"
"Escambia County, Alabama",01053,5.0,654,"2012 of 3143"
"Newton County, Missouri",29145,5.0,970,"2011 of 3143"
"Vernon County, Missouri",29217,5.0,317,"2010 of 3143"
"Benton County, Tennessee",47005,5.0,275,"2009 of 3143"
"Keya Paha County, Nebraska",31103,5.0,16,"2008 of 3143"
"Richland Parish, Louisiana",22083,5.0,323,"2007 of 3143"
"Fremont County, Idaho",16043,5.0,231,"2006 of 3143"
"Johnston County, North Carolina",37101,5.0,3381,"2005 of 3143"
"Spartanburg County, South Carolina",45083,5.0,5205,"2004 of 3143"
"DeKalb County, Georgia",13089,5.0,11938,"2003 of 3143"
"Morehouse Parish, Louisiana",22067,5.0,404,"2002 of 3143"
"Carroll County, Tennessee",47017,5.0,469,"2000 of 3143"
"Winchester City, Virginia",51840,5.0,456,"2000 of 3143"
"Rockbridge County, Virginia",51163,5.0,417,"1999 of 3143"
"Rhea County, Tennessee",47143,5.0,543,"1998 of 3143"
"Walla Walla County, Washington",53071,5.0,1039,"1997 of 3143"
"Gallatin County, Illinois",17059,5.0,90,"1996 of 3143"
"Fayette County, West Virginia",54019,4.9,725,"1995 of 3143"
"Hoke County, North Carolina",37093,4.9,814,"1994 of 3143"
"Marion County, Indiana",18097,4.9,14931,"1993 of 3143"
"Washoe County, Nevada",32031,4.9,8303,"1992 of 3143"
"McPherson County, Kansas",20113,4.9,496,"1991 of 3143"
"Doddridge County, West Virginia",54017,4.9,163,"1990 of 3143"
"Dickey County, North Dakota",38021,4.9,82,"1989 of 3143"
"McCormick County, South Carolina",45065,4.9,208,"1988 of 3143"
"Pinal County, Arizona",04021,4.9,7512,"1987 of 3143"
"Beauregard Parish, Louisiana",22011,4.9,604,"1986 of 3143"
"Owen County, Indiana",18119,4.9,381,"1985 of 3143"
"Crawford County, Arkansas",05033,4.9,979,"1984 of 3143"
"Lanier County, Georgia",13173,4.9,155,"1983 of 3143"
"Stone County, Arkansas",05137,4.9,217,"1982 of 3143"
"McIntosh County, Oklahoma",40091,4.9,337,"1981 of 3143"
"Perry County, Illinois",17145,4.9,415,"1980 of 3143"
"Denver County, Colorado",08031,4.9,12646,"1979 of 3143"
"Cullman County, Alabama",01043,4.9,1445,"1978 of 3143"
"Bladen County, North Carolina",37017,4.9,490,"1977 of 3143"
"Howard County, Arkansas",05061,4.9,203,"1976 of 3143"
"Franklin City, Virginia",51620,4.8,121,"1975 of 3143"
"Gilmer County, West Virginia",54021,4.8,152,"1974 of 3143"
"Camden County, North Carolina",37029,4.8,169,"1973 of 3143"
"Swift County, Minnesota",27151,4.8,166,"1972 of 3143"
"Washington County, New York",36115,4.8,1125,"1971 of 3143"
"Union County, North Carolina",37179,4.8,3553,"1970 of 3143"
"Jasper County, Texas",48241,4.8,542,"1969 of 3143"
"Howard County, Iowa",19089,4.8,152,"1968 of 3143"
"Sioux County, North Dakota",38085,4.8,51,"1967 of 3143"
"Monroe County, Alabama",01099,4.8,314,"1966 of 3143"
"Berks County, Pennsylvania",42011,4.8,6849,"1965 of 3143"
"Lee County, Florida",12071,4.8,13292,"1964 of 3143"
"Highland County, Virginia",51091,4.8,40,"1963 of 3143"
"Calhoun County, Mississippi",28013,4.8,206,"1962 of 3143"
"Livingston Parish, Louisiana",22063,4.8,2200,"1961 of 3143"
"Harvey County, Kansas",20079,4.8,525,"1960 of 3143"
"Hardin County, Tennessee",47071,4.8,438,"1959 of 3143"
"Mercer County, New Jersey",34021,4.8,6022,"1958 of 3143"
"Otero County, New Mexico",35035,4.8,1090,"1957 of 3143"
"Ramsey County, Minnesota",27123,4.8,8495,"1956 of 3143"
"Union County, Illinois",17181,4.8,294,"1955 of 3143"
"Brazoria County, Texas",48039,4.8,5785,"1954 of 3143"
"Donley County, Texas",48129,4.8,45,"1953 of 3143"
"Cleveland County, North Carolina",37045,4.8,1536,"1952 of 3143"
"Ouachita Parish, Louisiana",22073,4.8,2324,"1951 of 3143"
"Grant County, New Mexico",35017,4.8,473,"1950 of 3143"
"Ohio County, Indiana",18115,4.8,103,"1949 of 3143"
"Knox County, Missouri",29103,4.8,55,"1948 of 3143"
"Clarke County, Iowa",19039,4.8,154,"1947 of 3143"
"Richmond County, New York",36085,4.7,7810,"1946 of 3143"
"Guadalupe County, Texas",48187,4.7,2603,"1945 of 3143"
"Clearwater County, Minnesota",27029,4.7,138,"1944 of 3143"
"Piute County, Utah",49031,4.7,31,"1943 of 3143"
"Grayson County, Texas",48181,4.7,2054,"1942 of 3143"
"Columbia County, Arkansas",05027,4.7,308,"1941 of 3143"
"Newberry County, South Carolina",45071,4.7,595,"1940 of 3143"
"Webster County, Mississippi",28155,4.7,154,"1939 of 3143"
"Caldwell County, Missouri",29025,4.7,140,"1938 of 3143"
"Benton County, Missouri",29015,4.7,352,"1937 of 3143"
"Wilkinson County, Georgia",13319,4.7,141,"1936 of 3143"
"St. Lucie County, Florida",12111,4.7,5391,"1935 of 3143"
"Putnam County, Indiana",18133,4.7,614,"1934 of 3143"
"Jackson County, Colorado",08057,4.7,29,"1933 of 3143"
"Mitchell County, Texas",48335,4.7,143,"1932 of 3143"
"East Carroll Parish, Louisiana",22035,4.7,139,"1931 of 3143"
"Decatur County, Tennessee",47039,4.7,183,"1930 of 3143"
"Eureka County, Nevada",32011,4.7,23,"1929 of 3143"
"Clay County, North Carolina",37043,4.7,186,"1928 of 3143"
"Houston County, Tennessee",47083,4.7,131,"1927 of 3143"
"Fort Bend County, Texas",48157,4.7,11733,"1926 of 3143"
"Lamar County, Texas",48277,4.7,764,"1925 of 3143"
"Freeborn County, Minnesota",27047,4.7,509,"1924 of 3143"
"Lancaster County, South Carolina",45057,4.7,1518,"1923 of 3143"
"Oneida County, New York",36065,4.7,3703,"1922 of 3143"
"Buena Vista City, Virginia",51530,4.7,86,"1921 of 3143"
"Cumberland County, Virginia",51049,4.7,158,"1920 of 3143"
"Dinwiddie County, Virginia",51053,4.7,448,"1919 of 3143"
"Weakley County, Tennessee",47183,4.7,481,"1918 of 3143"
"Preston County, West Virginia",54077,4.7,618,"1917 of 3143"
"Dodge County, Georgia",13091,4.7,355,"1916 of 3143"
"Marin County, California",06041,4.7,4358,"1915 of 3143"
"Yukon-Koyukuk Census Area, Alaska",02290,4.6,88,"1914 of 3143"
"Grenada County, Mississippi",28043,4.6,329,"1913 of 3143"
"Fillmore County, Minnesota",27045,4.6,336,"1912 of 3143"
"Craven County, North Carolina",37049,4.6,1519,"1911 of 3143"
"Camden County, New Jersey",34007,4.6,7909,"1910 of 3143"
"Gilchrist County, Florida",12041,4.6,280,"1909 of 3143"
"Cherokee County, Oklahoma",40021,4.6,667,"1908 of 3143"
"Woodward County, Oklahoma",40153,4.6,348,"1907 of 3143"
"Washington County, Florida",12133,4.6,464,"1906 of 3143"
"Sullivan County, Indiana",18153,4.6,376,"1905 of 3143"
"Northwest Arctic Borough, Alaska",02188,4.6,110,"1904 of 3143"
"Clay County, Alabama",01027,4.6,221,"1903 of 3143"
"Woodruff County, Arkansas",05147,4.6,97,"1902 of 3143"
"Moore County, Tennessee",47127,4.6,106,"1901 of 3143"
"Atoka County, Oklahoma",40005,4.6,241,"1900 of 3143"
"Greenwood County, South Carolina",45047,4.6,995,"1899 of 3143"
"Meigs County, Ohio",39105,4.6,359,"1898 of 3143"
"Union County, New Mexico",35059,4.6,78,"1897 of 3143"
"Dale County, Alabama",01045,4.6,751,"1895 of 3143"
"Meriwether County, Georgia",13199,4.6,315,"1895 of 3143"
"Tyler County, West Virginia",54095,4.6,142,"1894 of 3143"
"Switzerland County, Indiana",18155,4.6,156,"1893 of 3143"
"Dodge County, Nebraska",31053,4.6,559,"1892 of 3143"
"Gallia County, Ohio",39053,4.6,446,"1891 of 3143"
"Columbia County, Florida",12023,4.6,1113,"1889 of 3143"
"Hardin County, Illinois",17069,4.6,70,"1889 of 3143"
"Hooker County, Nebraska",31091,4.6,11,"1888 of 3143"
"Gaston County, North Carolina",37071,4.6,3396,"1887 of 3143"
"Douglas County, Nebraska",31055,4.6,8466,"1886 of 3143"
"Pickett County, Tennessee",47137,4.6,87,"1885 of 3143"
"Middlesex County, New Jersey",34023,4.6,13264,"1884 of 3143"
"Benton County, Washington",53005,4.6,3016,"1883 of 3143"
"Rapides Parish, Louisiana",22079,4.6,1867,"1882 of 3143"
"Chase County, Kansas",20017,4.6,41,"1881 of 3143"
"Wythe County, Virginia",51197,4.6,461,"1880 of 3143"
"Shenandoah County, Virginia",51171,4.6,700,"1879 of 3143"
"Alexander County, North Carolina",37003,4.6,605,"1878 of 3143"
"Wetzel County, West Virginia",54103,4.6,231,"1877 of 3143"
"Lafayette County, Wisconsin",55065,4.6,261,"1876 of 3143"
"Allen County, Indiana",18003,4.6,5483,"1875 of 3143"
"Abbeville County, South Carolina",45001,4.6,367,"1874 of 3143"
"Lake County, South Dakota",46079,4.6,186,"1873 of 3143"
"Sedgwick County, Kansas",20173,4.6,7536,"1872 of 3143"
"Lyon County, Nevada",32019,4.6,989,"1871 of 3143"
"Big Stone County, Minnesota",27011,4.6,84,"1870 of 3143"
"Rio Arriba County, New Mexico",35039,4.6,616,"1869 of 3143"
"Fredericksburg City, Virginia",51630,4.6,373,"1868 of 3143"
"Klickitat County, Washington",53039,4.6,385,"1867 of 3143"
"Calloway County, Kentucky",21035,4.6,515,"1866 of 3143"
"Bon Homme County, South Dakota",46009,4.5,143,"1865 of 3143"
"Humphreys County, Tennessee",47085,4.5,292,"1864 of 3143"
"Beckham County, Oklahoma",40009,4.5,393,"1863 of 3143"
"Hinds County, Mississippi",28049,4.5,3089,"1862 of 3143"
"Barrow County, Georgia",13013,4.5,1189,"1861 of 3143"
"Montgomery County, Mississippi",28097,4.5,152,"1860 of 3143"
"Drew County, Arkansas",05043,4.5,238,"1859 of 3143"
"Pamlico County, North Carolina",37137,4.5,221,"1858 of 3143"
"Richland County, Wisconsin",55103,4.5,278,"1857 of 3143"
"Kent County, Maryland",24029,4.5,294,"1856 of 3143"
"Jay County, Indiana",18075,4.5,309,"1855 of 3143"
"Ottawa County, Oklahoma",40115,4.5,431,"1854 of 3143"
"Pike County, Mississippi",28113,4.5,536,"1853 of 3143"
"Coryell County, Texas",48099,4.5,1095,"1852 of 3143"
"Marion County, Arkansas",05089,4.5,282,"1851 of 3143"
"Monroe County, Wisconsin",55081,4.5,718,"1850 of 3143"
"Winnebago County, Illinois",17201,4.5,4223,"1849 of 3143"
"East Feliciana Parish, Louisiana",22037,4.5,362,"1848 of 3143"
"Barron County, Wisconsin",55005,4.5,745,"1847 of 3143"
"Boundary County, Idaho",16021,4.5,182,"1846 of 3143"
"Winston County, Alabama",01133,4.5,375,"1845 of 3143"
"Benson County, North Dakota",38005,4.5,78,"1844 of 3143"
"Elmore County, Alabama",01051,4.5,1283,"1843 of 3143"
"Fayette County, Texas",48149,4.5,390,"1842 of 3143"
"New Haven County, Connecticut",09009,4.5,12857,"1841 of 3143"
"Nicholas County, West Virginia",54067,4.5,404,"1840 of 3143"
"Smith County, Tennessee",47159,4.5,307,"1839 of 3143"
"Alpine County, California",06003,4.5,24,"1838 of 3143"
