Demographic Data Report for United States by County,,,,
Poverty: Persons below poverty,,,,
"All Ages, Black (includes Hispanic), Male",,,,
2017-2021 American Community Survey 5-Year Data,,,,
Sorted by Value,,,,
,,,,
County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Ottawa County, Kansas",20143,57.5,23,2628 of 2897
"Rusk County, Wisconsin",55107,57.5,23,2628 of 2897
"Pawnee County, Kansas",20145,57.4,35,2627 of 2897
"Pierce County, Georgia",13229,57.2,583,2626 of 2897
"Brewster County, Texas",48043,57.1,4,2623 of 2897
"Emery County, Utah",49015,57.1,4,2623 of 2897
"Holmes County, Ohio",39075,57.1,4,2623 of 2897
"Oswego County, New York",36075,57,159,2622 of 2897
"Cass County, Minnesota",27021,56.9,33,2621 of 2897
"Franklin County, Illinois",17055,56.7,55,2620 of 2897
"Lewis County, Washington",53041,56.6,142,2619 of 2897
"Jackson County, Tennessee",47087,56.5,13,2618 of 2897
"Macoupin County, Illinois",17117,56.4,106,2617 of 2897
"Sanpete County, Utah",49039,56.3,80,2616 of 2897
"Alpena County, Michigan",26007,56.1,32,2615 of 2897
"Cochran County, Texas",48079,56.1,55,2614 of 2897
"Renville County, Minnesota",27129,56,14,2613 of 2897
"Lamoille County, Vermont",50015,55.6,134,2612 of 2897
"Adams County, Wisconsin",55001,55.6,20,2608 of 2897
"Crawford County, Michigan",26039,55.6,5,2608 of 2897
"Ontonagon County, Michigan",26131,55.6,5,2608 of 2897
"Vernon County, Wisconsin",55123,55.6,25,2608 of 2897
"Tillman County, Oklahoma",40141,55.2,144,2607 of 2897
"Mille Lacs County, Minnesota",27095,55,22,2606 of 2897
"Marshall County, Indiana",18099,55,105,2605 of 2897
"Waldo County, Maine",23027,54.9,56,2604 of 2897
"Lincoln County, Oklahoma",40081,54.8,148,2603 of 2897
"Posey County, Indiana",18129,54.7,93,2602 of 2897
"Webster County, Iowa",19187,54.6,266,2601 of 2897
"Tioga County, New York",36107,54.5,108,2600 of 2897
"Mecosta County, Michigan",26107,54.5,255,2599 of 2897
"Johnson County, Tennessee",47091,54.3,25,2597 of 2897
"Martin County, Minnesota",27091,54.3,25,2597 of 2897
"Lanier County, Georgia",13173,54.1,585,2596 of 2897
"Clark County, South Dakota",46025,53.8,7,2594 of 2897
"Cumberland County, Tennessee",47035,53.8,147,2594 of 2897
"Atkinson County, Georgia",13003,53.8,373,2593 of 2897
"Smyth County, Virginia",51173,53.8,176,2592 of 2897
"Falls County, Texas",48145,53.7,897,2591 of 2897
"Trinity County, Texas",48455,53.6,280,2590 of 2897
"Moultrie County, Illinois",17139,53.3,16,2587 of 2897
"Taylor County, Wisconsin",55119,53.3,8,2587 of 2897
"Trempealeau County, Wisconsin",55121,53.3,32,2587 of 2897
"Madison County, Georgia",13195,53.2,622,2586 of 2897
"Elko County, Nevada",32007,53.1,181,2585 of 2897
"Hyde County, North Carolina",37095,53,265,2584 of 2897
"Bond County, Illinois",17005,52.9,118,2583 of 2897
"Whitman County, Washington",53075,52.8,260,2582 of 2897
"Livingston County, Kentucky",21139,52.6,30,2581 of 2897
"Ward County, Texas",48475,52.6,143,2580 of 2897
"Cedar County, Iowa",19031,52.5,31,2579 of 2897
"Anderson County, Kansas",20003,52.5,21,2578 of 2897
"Wilbarger County, Texas",48487,52.5,160,2577 of 2897
"Bryan County, Oklahoma",40013,52.4,230,2576 of 2897
"Guernsey County, Ohio",39059,52.1,219,2575 of 2897
"Hall County, Texas",48191,52,39,2573 of 2897
"Lee County, Virginia",51105,52,13,2573 of 2897
"Catahoula Parish, Louisiana",22025,51.9,440,2572 of 2897
"Lewis County, New York",36049,51.9,81,2571 of 2897
"Montgomery County, New York",36057,51.8,366,2570 of 2897
"Nicollet County, Minnesota",27103,51.8,186,2569 of 2897
"Dixie County, Florida",12029,51.5,167,2568 of 2897
"Sabine Parish, Louisiana",22085,51.4,762,2567 of 2897
"Knox County, Illinois",17095,51.1,752,2566 of 2897
"Noble County, Indiana",18113,51,25,2565 of 2897
"Green County, Kentucky",21087,50.9,54,2563 of 2897
"Swift County, Minnesota",27151,50.9,27,2563 of 2897
"Pittsburg County, Oklahoma",40121,50.8,212,2562 of 2897
"Clay County, Kentucky",21051,50.7,241,2561 of 2897
"Bandera County, Texas",48019,50.6,39,2560 of 2897
"Ballard County, Kentucky",21007,50.6,80,2559 of 2897
"Watauga County, North Carolina",37189,50.6,203,2558 of 2897
"Chippewa County, Michigan",26033,50.6,125,2557 of 2897
"Mercer County, Pennsylvania",42085,50.4,1323,2556 of 2897
"Poinsett County, Arkansas",05111,50.2,227,2555 of 2897
"Lee County, Iowa",19111,50.2,130,2554 of 2897
"Coles County, Illinois",17029,50.1,213,2553 of 2897
"Adams County, Washington",53001,50,23,2544 of 2897
"Bollinger County, Missouri",29017,50,9,2544 of 2897
"Clearwater County, Minnesota",27029,50,1,2544 of 2897
"Dearborn County, Indiana",18029,50,29,2544 of 2897
"Jackson County, North Carolina",37099,50,149,2544 of 2897
"Presque Isle County, Michigan",26141,50,12,2544 of 2897
"Sanilac County, Michigan",26151,50,43,2544 of 2897
"White County, Illinois",17193,50,12,2544 of 2897
"White Pine County, Nevada",32033,50,8,2544 of 2897
"Juneau County, Wisconsin",55057,49.5,110,2543 of 2897
"Cloud County, Kansas",20029,49.4,38,2542 of 2897
"East Carroll Parish, Louisiana",22035,49.1,615,2541 of 2897
"Wood County, West Virginia",54107,48.9,252,2540 of 2897
"Yell County, Arkansas",05149,48.9,108,2539 of 2897
"Karnes County, Texas",48255,48.8,63,2538 of 2897
"Pike County, Kentucky",21195,48.7,116,2537 of 2897
"Clinch County, Georgia",13065,48.7,362,2536 of 2897
"Lexington City, Virginia",51678,48.6,34,2535 of 2897
"Lyon County, Kansas",20111,48.3,146,2534 of 2897
"Amite County, Mississippi",28005,48.3,1228,2533 of 2897
"Alexander County, North Carolina",37003,48.3,267,2532 of 2897
"Iowa County, Iowa",19095,48.2,27,2531 of 2897
"Nemaha County, Nebraska",31127,48.1,25,2530 of 2897
"Pemiscot County, Missouri",29155,48,872,2529 of 2897
"St. Lawrence County, New York",36089,48,153,2528 of 2897
"Nodaway County, Missouri",29147,47.8,75,2527 of 2897
"Washington County, North Carolina",37187,47.7,1337,2526 of 2897
"Jackson County, Ohio",39079,47.7,73,2525 of 2897
"Winnebago County, Wisconsin",55139,47.7,871,2524 of 2897
"Ste. Genevieve County, Missouri",29186,47.6,10,2523 of 2897
"Jones County, Texas",48253,47.6,78,2522 of 2897
"Fisher County, Texas",48151,47.4,9,2519 of 2897
"Randolph County, West Virginia",54083,47.4,45,2519 of 2897
"Taos County, New Mexico",35055,47.4,9,2519 of 2897
"McDowell County, West Virginia",54047,47.2,179,2518 of 2897
"Navajo County, Arizona",04017,47.2,193,2517 of 2897
