"","Locationabbr","2020","2018","2016","2014","2012"
"214",36140,NA,NA,NA,NA,58.87
"215",36500,NA,NA,NA,NA,35.5
"216",40860,NA,NA,NA,NA,41.96
"217",41740,NA,NA,NA,NA,43.68
"218",42140,NA,NA,NA,NA,42.51
"219",42380,NA,NA,NA,NA,41.36
"220",42540,NA,NA,NA,NA,47.74
"221",45104,NA,NA,NA,NA,40.6
"222",45860,NA,NA,NA,NA,45.58
"223",45940,NA,NA,NA,NA,43.76
"224",46060,NA,NA,NA,NA,47.16
"225",46520,NA,NA,NA,NA,34.14
"226",47220,NA,NA,NA,NA,49.88
"227",49180,NA,NA,NA,NA,46.55
"228",49420,NA,NA,NA,NA,38.44
